,OESOPHAGUS,OVARY,HAEMATOPOIETIC,AERODIGESTIVE,LARGE_INTESTINE,KIDNEY,ENDOMETRIUM,BREAST,STOMACH,PROSTATE,PLEURA,BILIARY,SALIVARY,THYROID,URINARY,PANCREAS,LUNG,LIVER,BONE,GANGLIA,SOFT_TISSUE,SKIN,NERVOUS
1319,0.0,1.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,19.0,20.0,18.0,21.0,22.0
1368,0.0,2.0,3.0,1.0,5.0,4.0,6.0,9.0,14.0,7.0,10.0,11.0,12.0,13.0,16.0,8.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1417,0.0,1.0,5.0,4.0,3.0,8.0,2.0,6.0,7.0,10.0,11.0,12.0,9.0,14.0,15.0,17.0,16.0,13.0,19.0,18.0,20.0,21.0,22.0
1466,0.0,1.0,4.0,2.0,6.0,5.0,3.0,8.0,7.0,9.0,10.0,14.0,12.0,13.0,15.0,17.0,11.0,16.0,18.0,19.0,20.0,21.0,22.0
1515,1.0,0.0,2.0,4.0,5.0,3.0,6.0,8.0,7.0,9.0,10.0,14.0,12.0,13.0,15.0,17.0,11.0,16.0,18.0,19.0,20.0,22.0,21.0
1564,1.0,0.0,2.0,5.0,6.0,4.0,3.0,15.0,7.0,8.0,9.0,14.0,13.0,11.0,12.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
1613,0.0,1.0,3.0,2.0,7.0,6.0,5.0,12.0,4.0,14.0,13.0,8.0,11.0,10.0,9.0,15.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
1662,1.0,0.0,3.0,2.0,4.0,12.0,6.0,7.0,5.0,8.0,9.0,10.0,13.0,11.0,15.0,17.0,16.0,18.0,14.0,19.0,20.0,21.0,22.0
1711,0.0,2.0,1.0,3.0,5.0,12.0,4.0,7.0,6.0,8.0,9.0,10.0,14.0,11.0,13.0,19.0,15.0,16.0,18.0,17.0,20.0,21.0,22.0
1760,0.0,1.0,4.0,3.0,5.0,6.0,2.0,9.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0,20.0,19.0,18.0,21.0,22.0
1809,1.0,0.0,4.0,2.0,3.0,6.0,5.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
1858,1.0,0.0,3.0,2.0,7.0,6.0,5.0,9.0,4.0,8.0,10.0,11.0,12.0,13.0,18.0,15.0,14.0,16.0,17.0,20.0,19.0,21.0,22.0
1907,1.0,0.0,2.0,3.0,5.0,4.0,6.0,8.0,12.0,10.0,14.0,13.0,9.0,11.0,15.0,16.0,7.0,17.0,19.0,18.0,20.0,21.0,22.0
1956,0.0,1.0,2.0,5.0,3.0,6.0,4.0,9.0,7.0,8.0,10.0,14.0,12.0,13.0,16.0,15.0,11.0,18.0,17.0,19.0,20.0,21.0,22.0
2005,0.0,1.0,2.0,5.0,7.0,4.0,3.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,19.0,16.0,15.0,17.0,20.0,18.0,21.0,22.0
2054,0.0,1.0,2.0,4.0,6.0,3.0,5.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2103,0.0,2.0,1.0,4.0,7.0,3.0,6.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0
2152,0.0,2.0,1.0,4.0,6.0,7.0,3.0,5.0,13.0,8.0,9.0,10.0,14.0,11.0,12.0,17.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2201,0.0,1.0,2.0,4.0,8.0,3.0,5.0,7.0,6.0,9.0,10.0,15.0,12.0,13.0,14.0,17.0,11.0,18.0,16.0,19.0,20.0,21.0,22.0
2250,0.0,2.0,1.0,5.0,6.0,4.0,3.0,8.0,7.0,9.0,10.0,16.0,12.0,13.0,14.0,17.0,11.0,15.0,18.0,19.0,20.0,21.0,22.0
2299,0.0,1.0,2.0,8.0,7.0,4.0,3.0,5.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,18.0,16.0,15.0,17.0,19.0,20.0,21.0,22.0
2348,1.0,0.0,2.0,5.0,6.0,4.0,3.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,17.0,10.0,16.0,15.0,19.0,18.0,20.0,21.0,22.0
2397,0.0,1.0,2.0,5.0,4.0,8.0,3.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,16.0,15.0,19.0,18.0,20.0,21.0,22.0
2446,0.0,2.0,1.0,9.0,3.0,5.0,4.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
2495,1.0,0.0,4.0,3.0,5.0,14.0,2.0,7.0,6.0,9.0,11.0,12.0,8.0,13.0,15.0,18.0,16.0,17.0,20.0,10.0,19.0,21.0,22.0
2544,0.0,1.0,4.0,3.0,5.0,10.0,2.0,7.0,6.0,16.0,14.0,8.0,12.0,11.0,9.0,13.0,18.0,17.0,20.0,15.0,19.0,21.0,22.0
2593,1.0,0.0,2.0,3.0,5.0,14.0,4.0,7.0,6.0,8.0,10.0,11.0,12.0,13.0,16.0,9.0,17.0,18.0,19.0,15.0,20.0,21.0,22.0
2642,1.0,0.0,2.0,4.0,5.0,10.0,3.0,7.0,6.0,14.0,13.0,8.0,12.0,11.0,15.0,16.0,17.0,18.0,19.0,9.0,20.0,21.0,22.0
2691,0.0,3.0,4.0,1.0,6.0,15.0,2.0,7.0,5.0,10.0,12.0,13.0,9.0,14.0,18.0,8.0,17.0,16.0,20.0,11.0,19.0,21.0,22.0
2740,1.0,0.0,5.0,3.0,4.0,14.0,2.0,6.0,7.0,9.0,11.0,16.0,8.0,13.0,15.0,17.0,12.0,18.0,19.0,10.0,20.0,21.0,22.0
2789,1.0,0.0,2.0,4.0,5.0,15.0,3.0,7.0,6.0,8.0,11.0,17.0,13.0,14.0,16.0,10.0,12.0,18.0,19.0,9.0,20.0,21.0,22.0
2838,0.0,2.0,1.0,3.0,4.0,9.0,14.0,6.0,5.0,15.0,13.0,7.0,11.0,10.0,8.0,12.0,17.0,18.0,19.0,16.0,20.0,21.0,22.0
2887,0.0,1.0,4.0,3.0,5.0,15.0,2.0,6.0,7.0,9.0,12.0,16.0,8.0,14.0,18.0,11.0,13.0,17.0,20.0,10.0,19.0,21.0,22.0
2936,1.0,2.0,5.0,4.0,7.0,9.0,3.0,6.0,0.0,13.0,12.0,8.0,11.0,10.0,15.0,16.0,17.0,18.0,19.0,14.0,20.0,21.0,22.0
2985,0.0,1.0,4.0,6.0,7.0,5.0,3.0,2.0,14.0,9.0,10.0,11.0,12.0,13.0,16.0,8.0,17.0,18.0,15.0,20.0,19.0,21.0,22.0
3034,1.0,0.0,4.0,6.0,5.0,12.0,3.0,2.0,7.0,8.0,9.0,10.0,13.0,11.0,17.0,15.0,18.0,16.0,19.0,20.0,14.0,21.0,22.0
3083,1.0,0.0,2.0,5.0,6.0,4.0,9.0,3.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,18.0,16.0,19.0,20.0,15.0,21.0,22.0
3132,0.0,1.0,2.0,5.0,4.0,6.0,7.0,3.0,12.0,8.0,9.0,10.0,13.0,11.0,19.0,15.0,16.0,14.0,17.0,20.0,18.0,21.0,22.0
3181,0.0,3.0,5.0,8.0,2.0,6.0,1.0,4.0,12.0,7.0,9.0,10.0,13.0,11.0,14.0,15.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
3230,1.0,0.0,2.0,5.0,7.0,6.0,4.0,3.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,15.0,14.0,16.0,18.0,20.0,19.0,21.0,22.0
3279,1.0,0.0,2.0,8.0,6.0,3.0,5.0,4.0,7.0,9.0,10.0,12.0,13.0,14.0,17.0,16.0,18.0,15.0,11.0,20.0,19.0,21.0,22.0
3328,1.0,0.0,3.0,6.0,4.0,7.0,5.0,2.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,15.0,18.0,14.0,16.0,20.0,19.0,21.0,22.0
3377,1.0,0.0,2.0,5.0,6.0,4.0,3.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,17.0,19.0,15.0,14.0,16.0,20.0,18.0,21.0,22.0
3426,1.0,0.0,3.0,4.0,6.0,8.0,2.0,7.0,5.0,10.0,12.0,13.0,9.0,14.0,17.0,11.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0
3475,0.0,2.0,3.0,6.0,9.0,7.0,1.0,4.0,5.0,8.0,10.0,15.0,12.0,13.0,14.0,16.0,11.0,18.0,17.0,19.0,20.0,21.0,22.0
3524,0.0,1.0,4.0,5.0,8.0,6.0,3.0,2.0,7.0,9.0,10.0,14.0,12.0,13.0,16.0,17.0,11.0,19.0,18.0,15.0,20.0,21.0,22.0
3573,1.0,0.0,5.0,4.0,8.0,3.0,2.0,7.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,16.0,19.0,18.0,20.0,15.0,21.0,22.0
3622,0.0,1.0,3.0,9.0,7.0,4.0,6.0,5.0,2.0,8.0,11.0,12.0,13.0,14.0,15.0,10.0,17.0,18.0,16.0,19.0,20.0,21.0,22.0
3671,0.0,1.0,3.0,5.0,7.0,14.0,4.0,6.0,2.0,8.0,10.0,11.0,12.0,13.0,15.0,9.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
3720,0.0,1.0,6.0,9.0,4.0,3.0,7.0,2.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
3769,0.0,1.0,2.0,5.0,8.0,4.0,3.0,6.0,7.0,15.0,14.0,9.0,12.0,11.0,10.0,13.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
3818,0.0,1.0,3.0,6.0,4.0,7.0,5.0,8.0,2.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,18.0,22.0,21.0
3867,0.0,1.0,3.0,6.0,2.0,12.0,5.0,7.0,4.0,8.0,9.0,10.0,14.0,11.0,13.0,15.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
3916,0.0,1.0,2.0,4.0,8.0,6.0,10.0,3.0,7.0,9.0,14.0,11.0,12.0,13.0,5.0,17.0,16.0,19.0,15.0,18.0,20.0,21.0,22.0
3965,1.0,0.0,5.0,4.0,3.0,9.0,6.0,2.0,7.0,10.0,12.0,13.0,8.0,14.0,15.0,11.0,16.0,17.0,18.0,20.0,19.0,22.0,21.0
4014,2.0,0.0,5.0,1.0,6.0,3.0,7.0,4.0,14.0,8.0,10.0,11.0,12.0,13.0,16.0,9.0,17.0,15.0,18.0,19.0,20.0,22.0,21.0
4063,0.0,1.0,5.0,3.0,2.0,4.0,6.0,7.0,13.0,8.0,9.0,10.0,14.0,11.0,12.0,15.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
4112,0.0,1.0,7.0,4.0,2.0,5.0,3.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0,18.0,19.0,20.0,22.0,21.0
4161,1.0,0.0,5.0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0
4210,0.0,1.0,5.0,2.0,4.0,3.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,15.0,18.0,19.0,17.0,20.0,22.0,21.0
4259,0.0,1.0,3.0,2.0,4.0,5.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0
4308,1.0,0.0,4.0,3.0,2.0,9.0,5.0,6.0,7.0,10.0,12.0,13.0,8.0,14.0,15.0,11.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4357,0.0,1.0,3.0,5.0,2.0,4.0,9.0,6.0,14.0,8.0,10.0,11.0,12.0,13.0,15.0,7.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
4406,0.0,1.0,4.0,2.0,6.0,5.0,7.0,3.0,8.0,10.0,11.0,12.0,9.0,13.0,16.0,15.0,14.0,17.0,18.0,19.0,20.0,22.0,21.0
4455,0.0,1.0,6.0,5.0,2.0,4.0,10.0,3.0,7.0,8.0,11.0,12.0,13.0,14.0,15.0,9.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
4504,0.0,3.0,4.0,1.0,2.0,5.0,6.0,10.0,7.0,8.0,11.0,12.0,13.0,14.0,17.0,9.0,15.0,18.0,16.0,19.0,20.0,21.0,22.0
4553,0.0,4.0,3.0,1.0,2.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
4602,0.0,2.0,3.0,5.0,1.0,4.0,10.0,6.0,7.0,8.0,14.0,11.0,12.0,13.0,17.0,9.0,16.0,18.0,19.0,15.0,20.0,21.0,22.0
4651,0.0,2.0,5.0,1.0,4.0,14.0,6.0,7.0,3.0,8.0,9.0,11.0,12.0,13.0,15.0,16.0,17.0,18.0,10.0,19.0,20.0,21.0,22.0
4700,0.0,4.0,3.0,1.0,7.0,5.0,2.0,6.0,8.0,9.0,11.0,12.0,13.0,14.0,18.0,10.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0
4749,1.0,0.0,4.0,2.0,3.0,14.0,5.0,6.0,7.0,9.0,10.0,15.0,12.0,13.0,16.0,8.0,11.0,18.0,17.0,19.0,20.0,21.0,22.0
4798,0.0,14.0,2.0,4.0,1.0,3.0,6.0,7.0,5.0,8.0,10.0,11.0,12.0,13.0,15.0,9.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
4847,0.0,3.0,5.0,1.0,2.0,4.0,9.0,7.0,6.0,8.0,10.0,11.0,12.0,13.0,17.0,15.0,14.0,18.0,16.0,19.0,20.0,21.0,22.0
4896,0.0,2.0,3.0,1.0,4.0,5.0,7.0,6.0,12.0,8.0,9.0,14.0,13.0,11.0,15.0,16.0,10.0,17.0,18.0,20.0,19.0,21.0,22.0
