,OESOPHAGUS,HAEMATOPOIETIC,THYROID,SOFT_TISSUE,GANGLIA,LUNG,ENDOMETRIUM,SKIN,BREAST,LIVER,URINARY,OVARY,AERODIGESTIVE,BILIARY,SALIVARY,STOMACH,PLEURA,PANCREAS,LARGE_INTESTINE,BONE,PROSTATE,KIDNEY,NERVOUS
44,0.0,1.0,2.0,3.0,5.0,7.0,13.0,16.0,4.0,6.0,14.0,12.0,8.0,10.0,11.0,15.0,9.0,18.0,17.0,19.0,20.0,21.0,22.0
93,3.0,2.0,0.0,1.0,4.0,8.0,16.0,13.0,5.0,14.0,7.0,6.0,9.0,11.0,12.0,15.0,10.0,19.0,18.0,17.0,20.0,21.0,22.0
142,1.0,0.0,2.0,3.0,5.0,10.0,9.0,8.0,4.0,15.0,12.0,11.0,6.0,13.0,14.0,16.0,7.0,18.0,17.0,20.0,19.0,21.0,22.0
191,1.0,0.0,2.0,3.0,8.0,6.0,5.0,10.0,4.0,15.0,16.0,11.0,9.0,12.0,13.0,7.0,14.0,21.0,17.0,20.0,19.0,18.0,22.0
240,1.0,0.0,4.0,15.0,12.0,7.0,2.0,5.0,3.0,9.0,6.0,8.0,10.0,13.0,14.0,17.0,11.0,18.0,16.0,21.0,19.0,20.0,22.0
289,3.0,2.0,0.0,1.0,5.0,4.0,8.0,9.0,7.0,15.0,12.0,10.0,16.0,13.0,14.0,11.0,6.0,20.0,17.0,18.0,19.0,21.0,22.0
338,0.0,4.0,2.0,3.0,1.0,7.0,5.0,8.0,6.0,14.0,10.0,9.0,15.0,12.0,13.0,18.0,11.0,17.0,16.0,19.0,20.0,21.0,22.0
387,0.0,3.0,1.0,2.0,4.0,11.0,6.0,7.0,8.0,15.0,5.0,9.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
436,1.0,0.0,4.0,2.0,5.0,8.0,3.0,7.0,6.0,15.0,10.0,9.0,11.0,13.0,14.0,16.0,12.0,18.0,17.0,19.0,20.0,21.0,22.0
485,0.0,3.0,1.0,2.0,9.0,6.0,5.0,4.0,14.0,19.0,7.0,13.0,8.0,12.0,11.0,15.0,16.0,18.0,17.0,20.0,10.0,21.0,22.0
534,0.0,2.0,4.0,1.0,3.0,5.0,8.0,11.0,10.0,12.0,7.0,9.0,13.0,14.0,15.0,6.0,18.0,16.0,17.0,21.0,20.0,19.0,22.0
583,0.0,4.0,2.0,3.0,1.0,9.0,8.0,13.0,5.0,6.0,7.0,10.0,17.0,11.0,12.0,15.0,14.0,16.0,18.0,22.0,20.0,19.0,21.0
632,0.0,3.0,1.0,2.0,4.0,7.0,5.0,14.0,6.0,9.0,8.0,13.0,16.0,10.0,11.0,15.0,12.0,18.0,17.0,21.0,20.0,19.0,22.0
681,0.0,2.0,3.0,1.0,5.0,9.0,17.0,10.0,7.0,4.0,8.0,14.0,6.0,11.0,12.0,16.0,15.0,18.0,13.0,21.0,20.0,19.0,22.0
730,0.0,2.0,1.0,4.0,3.0,5.0,9.0,14.0,6.0,8.0,7.0,15.0,13.0,10.0,11.0,16.0,12.0,17.0,19.0,21.0,18.0,20.0,22.0
779,0.0,1.0,2.0,3.0,6.0,13.0,8.0,9.0,4.0,5.0,7.0,19.0,12.0,10.0,11.0,15.0,16.0,18.0,14.0,17.0,21.0,20.0,22.0
828,4.0,2.0,0.0,1.0,5.0,8.0,3.0,9.0,10.0,11.0,6.0,7.0,12.0,13.0,14.0,17.0,16.0,15.0,19.0,18.0,21.0,20.0,22.0
877,0.0,3.0,1.0,2.0,4.0,8.0,13.0,19.0,7.0,14.0,5.0,9.0,6.0,10.0,12.0,16.0,15.0,18.0,17.0,21.0,20.0,11.0,22.0
926,0.0,1.0,2.0,3.0,4.0,8.0,9.0,10.0,6.0,11.0,5.0,7.0,14.0,12.0,13.0,17.0,15.0,16.0,20.0,21.0,19.0,18.0,22.0
975,0.0,3.0,1.0,2.0,4.0,5.0,7.0,15.0,6.0,14.0,12.0,8.0,11.0,10.0,9.0,13.0,17.0,16.0,18.0,19.0,21.0,20.0,22.0
1024,0.0,3.0,4.0,1.0,2.0,5.0,12.0,10.0,9.0,11.0,7.0,8.0,6.0,13.0,14.0,15.0,17.0,18.0,20.0,19.0,16.0,21.0,22.0
1073,1.0,0.0,4.0,2.0,3.0,5.0,7.0,9.0,10.0,11.0,13.0,8.0,6.0,14.0,15.0,12.0,16.0,18.0,17.0,20.0,19.0,21.0,22.0
1122,0.0,3.0,4.0,2.0,1.0,9.0,8.0,6.0,10.0,11.0,7.0,15.0,5.0,12.0,13.0,17.0,14.0,18.0,16.0,20.0,19.0,21.0,22.0
1171,2.0,0.0,5.0,1.0,3.0,15.0,7.0,9.0,14.0,6.0,4.0,8.0,12.0,10.0,11.0,17.0,13.0,16.0,18.0,21.0,19.0,20.0,22.0
1220,1.0,0.0,14.0,2.0,4.0,7.0,6.0,10.0,9.0,3.0,16.0,8.0,5.0,12.0,13.0,15.0,11.0,18.0,19.0,17.0,20.0,21.0,22.0
1269,1.0,0.0,3.0,2.0,4.0,10.0,11.0,9.0,6.0,8.0,7.0,14.0,5.0,12.0,13.0,15.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
