, MAPK_PI3K, H2O2, JAK-STAT, IL-1, MAPK_only, TLR, PI3K_only, TGFB, VEGF, Wnt, TNFa
3324,0.0,1.0,7.0,3.0,8.0,2.0,9.0,4.0,5.0,6.0,10.0
3373,0.0,5.0,3.0,8.0,6.0,1.0,7.0,9.0,10.0,2.0,4.0
3422,0.0,5.0,9.0,1.0,8.0,6.0,4.0,2.0,7.0,3.0,10.0
3471,1.0,0.0,3.0,2.0,5.0,4.0,7.0,10.0,6.0,9.0,8.0
3520,1.0,4.0,0.0,2.0,5.0,9.0,3.0,10.0,6.0,8.0,7.0
3569,4.0,0.0,10.0,2.0,7.0,5.0,6.0,8.0,1.0,3.0,9.0
3618,5.0,0.0,4.0,3.0,9.0,6.0,7.0,10.0,1.0,2.0,8.0
3667,5.0,2.0,9.0,4.0,3.0,6.0,0.0,7.0,1.0,10.0,8.0
3716,0.0,5.0,1.0,2.0,3.0,4.0,8.0,9.0,6.0,7.0,10.0
3765,3.0,1.0,5.0,2.0,7.0,0.0,10.0,6.0,4.0,9.0,8.0
3814,0.0,2.0,4.0,3.0,8.0,1.0,9.0,6.0,5.0,7.0,10.0
3863,0.0,1.0,6.0,10.0,3.0,2.0,8.0,7.0,5.0,9.0,4.0
3912,2.0,0.0,5.0,10.0,6.0,7.0,1.0,4.0,9.0,3.0,8.0
3961,0.0,8.0,4.0,3.0,2.0,6.0,1.0,5.0,9.0,10.0,7.0
4010,3.0,1.0,2.0,5.0,7.0,9.0,4.0,0.0,10.0,8.0,6.0
4059,0.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0,9.0,8.0,10.0
4108,0.0,6.0,8.0,7.0,1.0,2.0,3.0,4.0,5.0,10.0,9.0
4157,0.0,4.0,2.0,5.0,6.0,7.0,1.0,3.0,10.0,8.0,9.0
4206,0.0,4.0,9.0,5.0,6.0,1.0,2.0,3.0,7.0,8.0,10.0
4255,4.0,1.0,2.0,7.0,5.0,8.0,0.0,3.0,9.0,10.0,6.0
4304,1.0,3.0,2.0,4.0,6.0,10.0,0.0,5.0,7.0,8.0,9.0
4353,1.0,0.0,5.0,10.0,3.0,6.0,4.0,7.0,8.0,9.0,2.0
4402,1.0,5.0,3.0,8.0,0.0,2.0,4.0,6.0,7.0,10.0,9.0
4451,2.0,3.0,0.0,7.0,1.0,9.0,4.0,5.0,8.0,6.0,10.0
4500,1.0,4.0,2.0,0.0,3.0,7.0,5.0,8.0,6.0,10.0,9.0
4549,0.0,2.0,5.0,4.0,9.0,1.0,6.0,7.0,8.0,10.0,3.0
4598,1.0,3.0,4.0,0.0,8.0,2.0,5.0,9.0,6.0,7.0,10.0
4647,0.0,8.0,1.0,4.0,2.0,5.0,6.0,7.0,3.0,10.0,9.0
4696,0.0,4.0,6.0,2.0,7.0,5.0,8.0,1.0,3.0,9.0,10.0
4745,0.0,7.0,6.0,4.0,9.0,1.0,2.0,5.0,8.0,3.0,10.0
4794,0.0,5.0,6.0,3.0,7.0,1.0,8.0,4.0,2.0,9.0,10.0
4843,1.0,0.0,9.0,8.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0
4892,4.0,3.0,1.0,0.0,2.0,5.0,8.0,6.0,7.0,9.0,10.0
