,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,ENDOMETRIUM,PANCREAS,BREAST,URINARY,LUNG,OVARY,OESOPHAGUS,LIVER,NERVOUS,STOMACH,AERODIGESTIVE,BONE,PROSTATE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
684,0.0,1.0,3.0,5.0,4.0,6.0,2.0,7.0,8.0,11.0,9.0,10.0,12.0,20.0,14.0,16.0,15.0,17.0,13.0,18.0,19.0,21.0,22.0
733,1.0,0.0,5.0,4.0,3.0,6.0,2.0,8.0,7.0,11.0,10.0,9.0,13.0,20.0,15.0,14.0,16.0,17.0,12.0,18.0,19.0,21.0,22.0
782,13.0,1.0,6.0,5.0,4.0,7.0,2.0,3.0,8.0,10.0,12.0,9.0,11.0,20.0,0.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
831,15.0,16.0,2.0,1.0,4.0,5.0,3.0,10.0,12.0,7.0,9.0,6.0,8.0,14.0,0.0,13.0,17.0,18.0,11.0,19.0,20.0,21.0,22.0
880,0.0,1.0,5.0,4.0,2.0,6.0,3.0,12.0,11.0,8.0,9.0,7.0,10.0,14.0,16.0,15.0,17.0,18.0,13.0,19.0,20.0,21.0,22.0
929,15.0,0.0,5.0,3.0,2.0,4.0,1.0,12.0,10.0,14.0,7.0,8.0,6.0,13.0,16.0,11.0,17.0,18.0,9.0,19.0,20.0,21.0,22.0
978,0.0,1.0,7.0,3.0,4.0,8.0,2.0,6.0,10.0,12.0,14.0,9.0,13.0,11.0,15.0,17.0,16.0,18.0,5.0,19.0,20.0,21.0,22.0
1027,0.0,1.0,2.0,5.0,4.0,3.0,6.0,20.0,7.0,8.0,11.0,9.0,12.0,10.0,14.0,16.0,15.0,17.0,13.0,18.0,19.0,21.0,22.0
1076,0.0,2.0,3.0,5.0,6.0,4.0,9.0,1.0,8.0,10.0,12.0,7.0,14.0,11.0,15.0,17.0,16.0,18.0,13.0,19.0,20.0,21.0,22.0
1125,0.0,1.0,2.0,4.0,6.0,3.0,7.0,9.0,8.0,5.0,11.0,10.0,13.0,12.0,15.0,17.0,16.0,18.0,14.0,19.0,20.0,21.0,22.0
1174,0.0,2.0,4.0,7.0,9.0,6.0,5.0,1.0,10.0,11.0,8.0,12.0,13.0,14.0,3.0,17.0,16.0,18.0,15.0,19.0,20.0,21.0,22.0
1223,0.0,1.0,3.0,2.0,7.0,4.0,9.0,8.0,5.0,6.0,12.0,13.0,10.0,11.0,15.0,17.0,16.0,18.0,14.0,19.0,20.0,21.0,22.0
1272,0.0,1.0,3.0,8.0,7.0,5.0,4.0,2.0,6.0,9.0,12.0,10.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1321,0.0,1.0,3.0,6.0,7.0,4.0,8.0,2.0,5.0,11.0,12.0,9.0,10.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,14.0,0.0,1.0,3.0,4.0,2.0,5.0,9.0,8.0,10.0,6.0,7.0,11.0,13.0,15.0,17.0,16.0,18.0,12.0,19.0,20.0,21.0,22.0
1419,0.0,1.0,3.0,5.0,2.0,4.0,8.0,6.0,7.0,10.0,12.0,9.0,13.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1468,0.0,1.0,2.0,4.0,3.0,5.0,7.0,10.0,6.0,9.0,12.0,8.0,13.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,0.0,2.0,5.0,7.0,3.0,4.0,6.0,1.0,8.0,10.0,12.0,11.0,9.0,14.0,15.0,17.0,16.0,18.0,13.0,19.0,20.0,21.0,22.0
1566,0.0,1.0,3.0,5.0,2.0,4.0,6.0,7.0,8.0,9.0,12.0,13.0,11.0,10.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1615,0.0,1.0,3.0,5.0,2.0,4.0,7.0,6.0,8.0,10.0,9.0,11.0,13.0,12.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1664,0.0,1.0,4.0,3.0,2.0,5.0,6.0,7.0,8.0,10.0,11.0,9.0,13.0,12.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,0.0,1.0,4.0,3.0,2.0,5.0,6.0,20.0,7.0,10.0,8.0,12.0,9.0,11.0,14.0,16.0,15.0,17.0,13.0,18.0,19.0,21.0,22.0
1762,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,7.0,11.0,10.0,12.0,9.0,20.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
1811,0.0,1.0,3.0,5.0,21.0,2.0,4.0,6.0,7.0,8.0,12.0,10.0,9.0,11.0,14.0,17.0,15.0,18.0,13.0,19.0,20.0,16.0,22.0
1860,14.0,0.0,3.0,2.0,1.0,4.0,6.0,7.0,5.0,10.0,8.0,11.0,9.0,12.0,15.0,17.0,16.0,18.0,13.0,19.0,20.0,21.0,22.0
1909,0.0,1.0,4.0,3.0,2.0,6.0,7.0,20.0,5.0,11.0,12.0,10.0,9.0,8.0,14.0,16.0,15.0,17.0,13.0,18.0,19.0,21.0,22.0
1958,0.0,1.0,3.0,5.0,2.0,4.0,6.0,20.0,7.0,10.0,8.0,9.0,11.0,12.0,14.0,16.0,15.0,17.0,13.0,18.0,19.0,21.0,22.0
2007,0.0,1.0,4.0,3.0,7.0,5.0,8.0,6.0,10.0,9.0,12.0,13.0,14.0,11.0,15.0,2.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2056,0.0,1.0,5.0,7.0,6.0,2.0,4.0,3.0,8.0,9.0,12.0,13.0,11.0,10.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,13.0,0.0,2.0,6.0,5.0,1.0,3.0,4.0,8.0,7.0,9.0,12.0,10.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,0.0,1.0,4.0,7.0,6.0,3.0,5.0,2.0,8.0,9.0,11.0,10.0,12.0,20.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2203,0.0,1.0,4.0,7.0,6.0,3.0,5.0,2.0,12.0,9.0,10.0,11.0,13.0,8.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2252,0.0,2.0,7.0,5.0,6.0,1.0,3.0,4.0,10.0,9.0,13.0,11.0,12.0,8.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2301,0.0,1.0,5.0,6.0,7.0,2.0,3.0,4.0,9.0,8.0,11.0,13.0,12.0,10.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,0.0,1.0,4.0,7.0,6.0,3.0,5.0,2.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2399,1.0,2.0,4.0,6.0,5.0,3.0,0.0,20.0,7.0,10.0,9.0,8.0,12.0,11.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2448,1.0,2.0,4.0,7.0,3.0,5.0,6.0,0.0,9.0,10.0,8.0,11.0,13.0,12.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,1.0,0.0,4.0,3.0,2.0,6.0,5.0,20.0,7.0,8.0,12.0,10.0,11.0,13.0,14.0,9.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2546,13.0,0.0,1.0,3.0,2.0,4.0,5.0,20.0,7.0,9.0,12.0,8.0,6.0,11.0,14.0,10.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2595,1.0,0.0,4.0,2.0,3.0,6.0,5.0,8.0,7.0,9.0,12.0,14.0,11.0,13.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2644,0.0,1.0,2.0,5.0,4.0,6.0,3.0,12.0,8.0,7.0,11.0,10.0,9.0,20.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
2693,0.0,1.0,2.0,5.0,3.0,6.0,4.0,20.0,7.0,8.0,12.0,10.0,9.0,13.0,14.0,11.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2742,0.0,1.0,2.0,3.0,4.0,6.0,5.0,11.0,8.0,12.0,10.0,9.0,7.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2791,0.0,2.0,4.0,5.0,3.0,1.0,6.0,13.0,10.0,7.0,11.0,9.0,8.0,12.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2840,1.0,0.0,4.0,3.0,6.0,7.0,5.0,2.0,12.0,11.0,9.0,10.0,8.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2889,1.0,0.0,2.0,4.0,3.0,6.0,5.0,13.0,11.0,10.0,9.0,7.0,8.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2938,0.0,1.0,2.0,3.0,4.0,6.0,5.0,14.0,9.0,7.0,10.0,11.0,8.0,12.0,15.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2987,15.0,0.0,3.0,5.0,1.0,4.0,6.0,7.0,11.0,9.0,10.0,8.0,14.0,12.0,2.0,17.0,16.0,18.0,13.0,19.0,20.0,21.0,22.0
3036,0.0,1.0,2.0,6.0,5.0,3.0,4.0,20.0,8.0,11.0,7.0,10.0,12.0,14.0,15.0,9.0,16.0,17.0,13.0,18.0,19.0,21.0,22.0
3085,13.0,0.0,2.0,17.0,5.0,4.0,3.0,11.0,6.0,7.0,12.0,8.0,9.0,20.0,1.0,10.0,14.0,15.0,16.0,18.0,19.0,21.0,22.0
3134,0.0,1.0,3.0,5.0,6.0,8.0,7.0,2.0,9.0,11.0,13.0,4.0,14.0,10.0,15.0,17.0,16.0,18.0,12.0,19.0,20.0,21.0,22.0
3183,16.0,0.0,2.0,7.0,6.0,3.0,8.0,10.0,9.0,13.0,4.0,5.0,11.0,14.0,1.0,12.0,17.0,18.0,15.0,19.0,20.0,21.0,22.0
3232,0.0,1.0,2.0,4.0,5.0,3.0,6.0,20.0,10.0,12.0,9.0,8.0,11.0,14.0,15.0,7.0,16.0,17.0,13.0,18.0,19.0,21.0,22.0
3281,0.0,1.0,2.0,4.0,3.0,6.0,5.0,11.0,7.0,12.0,13.0,9.0,10.0,14.0,15.0,8.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3330,0.0,1.0,4.0,17.0,3.0,6.0,5.0,20.0,7.0,8.0,10.0,9.0,12.0,13.0,14.0,2.0,15.0,16.0,11.0,18.0,19.0,21.0,22.0
3379,14.0,0.0,1.0,2.0,4.0,3.0,5.0,10.0,6.0,7.0,12.0,9.0,13.0,11.0,15.0,8.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3428,0.0,1.0,2.0,5.0,4.0,3.0,6.0,10.0,8.0,9.0,11.0,7.0,12.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3477,0.0,1.0,3.0,5.0,4.0,15.0,6.0,7.0,9.0,11.0,8.0,10.0,14.0,12.0,16.0,2.0,17.0,18.0,13.0,19.0,20.0,21.0,22.0
3526,0.0,1.0,2.0,6.0,5.0,7.0,4.0,9.0,8.0,11.0,3.0,12.0,13.0,15.0,16.0,10.0,17.0,18.0,14.0,19.0,20.0,21.0,22.0
3575,0.0,1.0,3.0,5.0,2.0,7.0,4.0,10.0,6.0,8.0,9.0,11.0,13.0,14.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,0.0,1.0,3.0,4.0,5.0,6.0,8.0,2.0,7.0,10.0,9.0,12.0,13.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3673,0.0,1.0,3.0,18.0,4.0,6.0,5.0,7.0,8.0,14.0,9.0,11.0,10.0,13.0,15.0,2.0,16.0,17.0,12.0,19.0,20.0,21.0,22.0
3722,14.0,0.0,1.0,4.0,3.0,2.0,7.0,6.0,8.0,11.0,9.0,12.0,10.0,13.0,15.0,5.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,0.0,1.0,2.0,5.0,4.0,6.0,8.0,7.0,9.0,13.0,3.0,12.0,14.0,11.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,1.0,0.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,12.0,11.0,9.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,12.0,15.0,13.0,16.0,11.0,17.0,18.0,14.0,19.0,20.0,21.0,22.0
3918,0.0,1.0,3.0,4.0,5.0,6.0,7.0,2.0,9.0,10.0,8.0,12.0,11.0,14.0,15.0,17.0,16.0,18.0,13.0,19.0,20.0,21.0,22.0
3967,14.0,0.0,1.0,3.0,4.0,5.0,2.0,11.0,9.0,7.0,6.0,8.0,12.0,13.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,13.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0,11.0,12.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,14.0,0.0,1.0,4.0,3.0,5.0,2.0,6.0,7.0,8.0,12.0,10.0,13.0,11.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,14.0,0.0,1.0,4.0,2.0,3.0,5.0,6.0,9.0,8.0,11.0,10.0,12.0,13.0,15.0,7.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,14.0,0.0,1.0,4.0,3.0,2.0,6.0,5.0,8.0,9.0,10.0,12.0,11.0,13.0,15.0,7.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,14.0,0.0,2.0,4.0,3.0,5.0,6.0,1.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,7.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,14.0,0.0,2.0,5.0,6.0,3.0,9.0,1.0,7.0,10.0,4.0,11.0,12.0,13.0,15.0,8.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,13.0,0.0,2.0,1.0,3.0,4.0,8.0,5.0,6.0,7.0,10.0,12.0,9.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,14.0,0.0,2.0,3.0,1.0,4.0,5.0,7.0,8.0,6.0,13.0,11.0,10.0,12.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,13.0,0.0,1.0,4.0,3.0,2.0,5.0,8.0,10.0,6.0,7.0,12.0,9.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,0.0,1.0,4.0,3.0,6.0,8.0,7.0,2.0,9.0,10.0,13.0,5.0,14.0,12.0,15.0,11.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,0.0,1.0,3.0,2.0,5.0,7.0,8.0,4.0,6.0,9.0,10.0,16.0,11.0,12.0,14.0,13.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4555,0.0,1.0,4.0,2.0,21.0,5.0,8.0,3.0,7.0,9.0,13.0,12.0,11.0,6.0,14.0,10.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
4604,14.0,0.0,4.0,2.0,3.0,5.0,6.0,1.0,8.0,12.0,7.0,11.0,13.0,10.0,15.0,9.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,0.0,1.0,5.0,2.0,6.0,7.0,3.0,4.0,11.0,10.0,9.0,8.0,12.0,20.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4702,13.0,1.0,5.0,0.0,2.0,4.0,3.0,20.0,9.0,6.0,10.0,8.0,12.0,7.0,14.0,11.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4751,0.0,1.0,3.0,2.0,6.0,5.0,4.0,20.0,9.0,7.0,10.0,8.0,12.0,11.0,13.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4800,12.0,0.0,1.0,2.0,21.0,4.0,5.0,3.0,10.0,11.0,6.0,7.0,8.0,9.0,13.0,16.0,14.0,17.0,18.0,19.0,20.0,15.0,22.0
4849,0.0,1.0,5.0,4.0,3.0,6.0,7.0,2.0,8.0,12.0,10.0,9.0,13.0,11.0,14.0,16.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,0.0,1.0,5.0,2.0,4.0,6.0,7.0,3.0,8.0,11.0,9.0,12.0,14.0,13.0,15.0,10.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
