,PANCREAS,SKIN,BREAST,LARGE_INTESTINE,NERVOUS,BONE,LIVER,LUNG,HAEMATOPOIETIC,STOMACH,OESOPHAGUS,ENDOMETRIUM,THYROID,GANGLIA,OVARY,AERODIGESTIVE,URINARY,SOFT_TISSUE,PROSTATE,PLEURA,KIDNEY,SALIVARY,BILIARY
679,1.0,3.0,0.0,2.0,7.0,4.0,5.0,12.0,13.0,6.0,8.0,14.0,11.0,9.0,10.0,15.0,17.0,16.0,18.0,19.0,21.0,20.0,22.0
728,0.0,1.0,2.0,3.0,7.0,6.0,5.0,8.0,12.0,9.0,11.0,14.0,17.0,4.0,10.0,16.0,13.0,15.0,19.0,18.0,20.0,21.0,22.0
777,1.0,2.0,0.0,3.0,4.0,9.0,5.0,8.0,10.0,11.0,6.0,15.0,13.0,12.0,7.0,17.0,16.0,14.0,18.0,19.0,21.0,20.0,22.0
826,0.0,2.0,1.0,3.0,4.0,6.0,5.0,7.0,12.0,8.0,14.0,15.0,10.0,9.0,11.0,16.0,13.0,17.0,19.0,18.0,20.0,21.0,22.0
875,0.0,2.0,1.0,3.0,4.0,8.0,5.0,9.0,12.0,6.0,13.0,7.0,14.0,11.0,10.0,18.0,15.0,16.0,19.0,17.0,20.0,21.0,22.0
924,0.0,1.0,2.0,3.0,4.0,5.0,8.0,9.0,10.0,12.0,6.0,14.0,11.0,7.0,13.0,17.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
973,0.0,2.0,1.0,3.0,6.0,5.0,4.0,8.0,15.0,14.0,10.0,11.0,12.0,7.0,9.0,21.0,13.0,16.0,18.0,17.0,20.0,19.0,22.0
1022,0.0,3.0,1.0,2.0,4.0,5.0,11.0,6.0,8.0,9.0,13.0,7.0,20.0,15.0,10.0,18.0,12.0,14.0,16.0,17.0,21.0,19.0,22.0
1071,0.0,3.0,2.0,1.0,5.0,4.0,6.0,8.0,9.0,12.0,10.0,7.0,20.0,13.0,11.0,14.0,16.0,15.0,17.0,18.0,21.0,19.0,22.0
1120,0.0,3.0,2.0,1.0,4.0,5.0,7.0,9.0,10.0,12.0,11.0,6.0,20.0,16.0,8.0,15.0,13.0,14.0,17.0,18.0,21.0,19.0,22.0
1169,0.0,3.0,2.0,1.0,6.0,4.0,5.0,7.0,9.0,10.0,12.0,11.0,20.0,15.0,8.0,13.0,14.0,16.0,17.0,18.0,21.0,19.0,22.0
1218,0.0,3.0,2.0,1.0,5.0,4.0,6.0,9.0,7.0,17.0,12.0,10.0,19.0,15.0,8.0,11.0,14.0,16.0,18.0,13.0,20.0,21.0,22.0
1267,0.0,3.0,1.0,2.0,5.0,4.0,6.0,7.0,10.0,14.0,11.0,9.0,19.0,13.0,8.0,12.0,15.0,16.0,18.0,17.0,20.0,21.0,22.0
1316,1.0,3.0,2.0,0.0,4.0,5.0,6.0,9.0,8.0,10.0,12.0,7.0,19.0,17.0,14.0,11.0,13.0,15.0,18.0,16.0,20.0,21.0,22.0
1365,0.0,3.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,13.0,12.0,11.0,19.0,15.0,10.0,9.0,16.0,14.0,18.0,17.0,20.0,21.0,22.0
1414,0.0,2.0,3.0,1.0,7.0,4.0,6.0,12.0,9.0,15.0,11.0,10.0,19.0,14.0,8.0,13.0,5.0,16.0,18.0,17.0,20.0,21.0,22.0
1463,1.0,0.0,3.0,2.0,5.0,4.0,6.0,8.0,7.0,16.0,11.0,10.0,20.0,9.0,13.0,12.0,14.0,15.0,17.0,18.0,21.0,19.0,22.0
1512,2.0,3.0,1.0,0.0,5.0,8.0,4.0,7.0,10.0,6.0,15.0,11.0,9.0,12.0,16.0,14.0,13.0,17.0,18.0,19.0,21.0,20.0,22.0
1561,1.0,3.0,0.0,2.0,4.0,11.0,6.0,10.0,5.0,15.0,13.0,7.0,9.0,12.0,8.0,19.0,14.0,16.0,18.0,17.0,21.0,20.0,22.0
1610,0.0,3.0,2.0,1.0,4.0,6.0,5.0,12.0,8.0,9.0,11.0,15.0,7.0,10.0,13.0,16.0,14.0,17.0,19.0,18.0,20.0,21.0,22.0
1659,1.0,2.0,0.0,3.0,4.0,7.0,6.0,9.0,5.0,10.0,13.0,11.0,8.0,12.0,14.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
1708,1.0,3.0,0.0,2.0,4.0,6.0,5.0,7.0,9.0,12.0,15.0,8.0,10.0,11.0,14.0,17.0,13.0,18.0,19.0,16.0,20.0,21.0,22.0
1757,1.0,2.0,0.0,3.0,4.0,11.0,6.0,5.0,10.0,8.0,16.0,12.0,9.0,7.0,13.0,18.0,15.0,14.0,19.0,17.0,20.0,21.0,22.0
1806,1.0,3.0,2.0,0.0,4.0,7.0,5.0,6.0,8.0,9.0,14.0,17.0,19.0,10.0,11.0,15.0,12.0,13.0,18.0,16.0,20.0,21.0,22.0
1855,1.0,0.0,2.0,3.0,4.0,6.0,7.0,5.0,10.0,9.0,16.0,11.0,8.0,15.0,14.0,18.0,13.0,12.0,19.0,17.0,20.0,21.0,22.0
1904,2.0,1.0,0.0,3.0,4.0,5.0,7.0,6.0,14.0,9.0,11.0,10.0,8.0,13.0,15.0,12.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
1953,1.0,0.0,3.0,2.0,4.0,7.0,6.0,10.0,8.0,16.0,17.0,5.0,9.0,11.0,12.0,14.0,15.0,13.0,19.0,18.0,20.0,21.0,22.0
2002,0.0,2.0,3.0,1.0,4.0,6.0,10.0,5.0,12.0,8.0,14.0,7.0,9.0,11.0,15.0,13.0,16.0,18.0,19.0,17.0,20.0,21.0,22.0
2051,0.0,1.0,3.0,2.0,4.0,5.0,6.0,9.0,10.0,8.0,15.0,14.0,7.0,11.0,12.0,17.0,16.0,13.0,19.0,18.0,20.0,21.0,22.0
2100,0.0,1.0,3.0,2.0,6.0,8.0,4.0,11.0,12.0,5.0,15.0,9.0,10.0,18.0,7.0,13.0,14.0,16.0,19.0,17.0,20.0,21.0,22.0
2149,1.0,0.0,3.0,2.0,4.0,5.0,8.0,6.0,13.0,12.0,14.0,7.0,10.0,11.0,15.0,9.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
2198,0.0,1.0,3.0,2.0,9.0,4.0,7.0,8.0,6.0,13.0,12.0,5.0,10.0,11.0,14.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
2247,0.0,1.0,4.0,2.0,3.0,5.0,6.0,9.0,10.0,8.0,13.0,7.0,17.0,11.0,12.0,14.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
2296,0.0,1.0,4.0,2.0,3.0,5.0,7.0,11.0,9.0,8.0,13.0,6.0,15.0,10.0,12.0,14.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
2345,0.0,1.0,3.0,2.0,4.0,5.0,6.0,9.0,8.0,14.0,13.0,7.0,10.0,11.0,12.0,17.0,15.0,16.0,19.0,18.0,20.0,21.0,22.0
2394,0.0,1.0,3.0,2.0,4.0,6.0,5.0,8.0,13.0,10.0,11.0,7.0,9.0,12.0,14.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
2443,0.0,2.0,3.0,1.0,4.0,5.0,7.0,10.0,9.0,11.0,8.0,6.0,13.0,12.0,16.0,15.0,14.0,17.0,18.0,19.0,21.0,20.0,22.0
2492,3.0,2.0,0.0,1.0,7.0,4.0,5.0,6.0,9.0,11.0,10.0,17.0,12.0,15.0,8.0,18.0,13.0,14.0,19.0,16.0,20.0,21.0,22.0
2541,3.0,4.0,1.0,0.0,2.0,5.0,7.0,9.0,6.0,11.0,10.0,14.0,8.0,17.0,12.0,15.0,13.0,16.0,18.0,21.0,20.0,19.0,22.0
2590,2.0,1.0,3.0,0.0,4.0,5.0,6.0,8.0,7.0,11.0,9.0,12.0,15.0,19.0,10.0,17.0,13.0,14.0,18.0,16.0,20.0,21.0,22.0
2639,3.0,2.0,0.0,1.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0,15.0,11.0,18.0,13.0,14.0,12.0,19.0,16.0,17.0,21.0,20.0,22.0
2688,3.0,2.0,1.0,0.0,4.0,5.0,8.0,6.0,7.0,10.0,9.0,14.0,11.0,19.0,12.0,15.0,13.0,16.0,18.0,17.0,20.0,21.0,22.0
2737,2.0,1.0,3.0,0.0,4.0,5.0,6.0,8.0,7.0,11.0,15.0,10.0,9.0,19.0,14.0,12.0,13.0,17.0,16.0,18.0,21.0,20.0,22.0
2786,2.0,3.0,1.0,0.0,4.0,5.0,7.0,9.0,8.0,10.0,6.0,12.0,11.0,19.0,15.0,13.0,14.0,16.0,17.0,18.0,21.0,20.0,22.0
2835,1.0,3.0,2.0,0.0,5.0,4.0,6.0,7.0,11.0,8.0,9.0,12.0,10.0,18.0,15.0,13.0,14.0,19.0,16.0,17.0,21.0,20.0,22.0
2884,2.0,3.0,0.0,1.0,4.0,5.0,6.0,9.0,7.0,12.0,13.0,8.0,11.0,19.0,14.0,10.0,16.0,17.0,15.0,18.0,21.0,20.0,22.0
2933,2.0,0.0,3.0,1.0,4.0,5.0,10.0,8.0,6.0,9.0,7.0,14.0,17.0,19.0,12.0,11.0,13.0,15.0,18.0,16.0,20.0,21.0,22.0
2982,0.0,4.0,2.0,3.0,1.0,5.0,9.0,7.0,10.0,6.0,8.0,12.0,14.0,15.0,13.0,11.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
3031,0.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0,12.0,11.0,13.0,14.0,7.0,15.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
3080,0.0,1.0,2.0,3.0,4.0,5.0,10.0,6.0,8.0,9.0,11.0,13.0,12.0,15.0,7.0,14.0,17.0,18.0,19.0,16.0,20.0,21.0,22.0
3129,0.0,2.0,1.0,3.0,5.0,4.0,11.0,6.0,9.0,7.0,8.0,10.0,18.0,12.0,13.0,14.0,15.0,16.0,19.0,17.0,20.0,21.0,22.0
3178,0.0,2.0,1.0,3.0,4.0,5.0,11.0,7.0,13.0,6.0,8.0,9.0,10.0,12.0,15.0,14.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
3227,0.0,1.0,2.0,3.0,4.0,6.0,9.0,8.0,10.0,5.0,7.0,11.0,13.0,17.0,12.0,14.0,15.0,16.0,18.0,21.0,20.0,19.0,22.0
3276,1.0,2.0,0.0,4.0,3.0,5.0,11.0,10.0,7.0,8.0,13.0,6.0,14.0,9.0,12.0,16.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
3325,0.0,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,13.0,9.0,10.0,14.0,11.0,12.0,18.0,15.0,16.0,19.0,17.0,20.0,21.0,22.0
3374,1.0,3.0,0.0,2.0,4.0,5.0,6.0,8.0,11.0,7.0,14.0,9.0,13.0,12.0,10.0,17.0,15.0,16.0,19.0,18.0,20.0,21.0,22.0
3423,2.0,1.0,0.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,11.0,16.0,18.0,12.0,10.0,13.0,15.0,14.0,19.0,17.0,20.0,21.0,22.0
3472,0.0,1.0,4.0,2.0,3.0,5.0,13.0,8.0,10.0,6.0,11.0,12.0,7.0,9.0,16.0,17.0,14.0,15.0,19.0,18.0,20.0,21.0,22.0
3521,2.0,3.0,1.0,4.0,0.0,5.0,12.0,10.0,11.0,8.0,9.0,7.0,16.0,6.0,14.0,13.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
3570,1.0,4.0,0.0,3.0,2.0,5.0,11.0,8.0,6.0,7.0,9.0,12.0,17.0,10.0,14.0,13.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
3619,0.0,3.0,1.0,4.0,2.0,5.0,9.0,12.0,10.0,6.0,7.0,13.0,11.0,8.0,16.0,15.0,14.0,17.0,18.0,19.0,21.0,20.0,22.0
3668,1.0,3.0,0.0,4.0,2.0,5.0,7.0,12.0,10.0,6.0,9.0,8.0,11.0,13.0,16.0,14.0,17.0,15.0,18.0,19.0,21.0,20.0,22.0
3717,2.0,3.0,0.0,4.0,1.0,5.0,9.0,8.0,11.0,7.0,17.0,6.0,12.0,10.0,16.0,13.0,15.0,14.0,18.0,19.0,21.0,20.0,22.0
3766,0.0,2.0,1.0,3.0,4.0,5.0,6.0,11.0,12.0,7.0,10.0,8.0,9.0,15.0,17.0,13.0,14.0,16.0,18.0,19.0,21.0,20.0,22.0
3815,0.0,3.0,2.0,1.0,4.0,5.0,12.0,10.0,9.0,6.0,7.0,11.0,8.0,13.0,16.0,14.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
3864,1.0,4.0,0.0,3.0,2.0,5.0,6.0,11.0,10.0,8.0,7.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
3913,0.0,3.0,4.0,1.0,2.0,5.0,8.0,10.0,7.0,6.0,15.0,12.0,11.0,14.0,13.0,9.0,16.0,18.0,17.0,19.0,21.0,20.0,22.0
3962,0.0,2.0,3.0,1.0,4.0,6.0,5.0,11.0,9.0,12.0,7.0,13.0,10.0,15.0,8.0,14.0,16.0,18.0,19.0,17.0,20.0,21.0,22.0
4011,0.0,1.0,3.0,2.0,4.0,6.0,5.0,12.0,13.0,8.0,7.0,11.0,9.0,14.0,10.0,15.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
4060,0.0,1.0,3.0,2.0,4.0,6.0,9.0,8.0,12.0,14.0,5.0,7.0,10.0,13.0,11.0,15.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
4109,0.0,1.0,3.0,2.0,4.0,8.0,6.0,5.0,9.0,16.0,10.0,13.0,7.0,14.0,12.0,11.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
4158,0.0,1.0,3.0,2.0,5.0,7.0,4.0,6.0,8.0,12.0,9.0,11.0,10.0,13.0,14.0,18.0,16.0,15.0,19.0,17.0,20.0,21.0,22.0
4207,0.0,2.0,3.0,1.0,6.0,5.0,4.0,8.0,13.0,14.0,9.0,12.0,10.0,15.0,11.0,7.0,16.0,17.0,19.0,18.0,20.0,21.0,22.0
4256,0.0,1.0,3.0,2.0,7.0,15.0,4.0,5.0,6.0,14.0,12.0,13.0,9.0,11.0,8.0,10.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
4305,1.0,2.0,3.0,0.0,9.0,7.0,5.0,6.0,10.0,11.0,12.0,13.0,8.0,4.0,14.0,15.0,19.0,16.0,18.0,17.0,20.0,21.0,22.0
4354,0.0,2.0,3.0,1.0,5.0,8.0,4.0,6.0,9.0,12.0,11.0,13.0,15.0,7.0,10.0,14.0,17.0,18.0,19.0,16.0,20.0,21.0,22.0
4403,0.0,2.0,3.0,1.0,4.0,6.0,5.0,7.0,11.0,10.0,8.0,15.0,19.0,9.0,13.0,12.0,14.0,17.0,16.0,18.0,21.0,20.0,22.0
4452,0.0,3.0,1.0,2.0,4.0,5.0,6.0,8.0,15.0,9.0,7.0,13.0,10.0,16.0,11.0,14.0,17.0,12.0,19.0,18.0,20.0,21.0,22.0
4501,0.0,1.0,2.0,3.0,5.0,4.0,7.0,10.0,11.0,8.0,13.0,12.0,16.0,14.0,6.0,9.0,18.0,15.0,17.0,19.0,21.0,20.0,22.0
4550,0.0,3.0,1.0,4.0,2.0,6.0,5.0,9.0,11.0,12.0,8.0,7.0,10.0,13.0,15.0,14.0,19.0,16.0,18.0,17.0,20.0,21.0,22.0
4599,1.0,0.0,3.0,2.0,4.0,5.0,15.0,12.0,13.0,11.0,10.0,14.0,7.0,9.0,6.0,8.0,17.0,16.0,18.0,19.0,21.0,20.0,22.0
4648,1.0,0.0,3.0,2.0,4.0,7.0,6.0,12.0,13.0,5.0,14.0,10.0,9.0,11.0,8.0,19.0,16.0,15.0,17.0,18.0,21.0,20.0,22.0
4697,0.0,1.0,2.0,3.0,4.0,8.0,6.0,11.0,15.0,7.0,14.0,5.0,10.0,12.0,9.0,13.0,19.0,18.0,16.0,17.0,21.0,20.0,22.0
4746,1.0,0.0,3.0,2.0,4.0,5.0,6.0,10.0,14.0,12.0,15.0,7.0,8.0,9.0,11.0,13.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
4795,0.0,3.0,2.0,1.0,4.0,5.0,8.0,7.0,11.0,17.0,13.0,14.0,10.0,6.0,9.0,12.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
4844,0.0,1.0,2.0,4.0,3.0,8.0,5.0,9.0,13.0,10.0,11.0,7.0,18.0,12.0,6.0,19.0,14.0,15.0,17.0,16.0,21.0,20.0,22.0
4893,0.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,11.0,13.0,5.0,10.0,12.0,17.0,9.0,14.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
