,SKIN,LARGE_INTESTINE,PANCREAS,BREAST,NERVOUS,LIVER,BONE,LUNG,OESOPHAGUS,HAEMATOPOIETIC,THYROID,ENDOMETRIUM,STOMACH,AERODIGESTIVE,OVARY,GANGLIA,PROSTATE,PLEURA,URINARY,SOFT_TISSUE,KIDNEY,SALIVARY,BILIARY
536,1.0,0.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,12.0,14.0,11.0,13.0,10.0,17.0,9.0,16.0,15.0,18.0,19.0,20.0,21.0,22.0
585,2.0,0.0,1.0,3.0,4.0,5.0,8.0,6.0,7.0,9.0,11.0,12.0,10.0,13.0,16.0,18.0,14.0,15.0,19.0,17.0,21.0,20.0,22.0
634,1.0,0.0,2.0,3.0,4.0,6.0,9.0,10.0,5.0,12.0,8.0,11.0,13.0,16.0,17.0,7.0,15.0,21.0,18.0,14.0,20.0,19.0,22.0
683,1.0,0.0,2.0,3.0,4.0,6.0,8.0,7.0,5.0,12.0,10.0,14.0,9.0,15.0,16.0,13.0,18.0,17.0,19.0,11.0,20.0,21.0,22.0
732,0.0,1.0,2.0,4.0,3.0,6.0,7.0,11.0,5.0,10.0,8.0,12.0,17.0,13.0,14.0,9.0,19.0,16.0,15.0,18.0,20.0,21.0,22.0
781,1.0,0.0,2.0,4.0,3.0,6.0,9.0,11.0,5.0,13.0,10.0,12.0,8.0,14.0,15.0,7.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
830,0.0,1.0,2.0,3.0,4.0,9.0,7.0,8.0,6.0,10.0,11.0,5.0,12.0,13.0,18.0,14.0,15.0,16.0,19.0,17.0,21.0,20.0,22.0
879,3.0,2.0,1.0,0.0,7.0,4.0,6.0,8.0,5.0,9.0,14.0,11.0,12.0,13.0,17.0,10.0,15.0,16.0,19.0,18.0,21.0,20.0,22.0
928,1.0,2.0,0.0,3.0,5.0,7.0,6.0,8.0,4.0,12.0,10.0,9.0,14.0,13.0,18.0,11.0,16.0,15.0,19.0,17.0,20.0,21.0,22.0
977,0.0,1.0,2.0,3.0,5.0,4.0,6.0,9.0,8.0,13.0,11.0,12.0,14.0,7.0,15.0,10.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
1026,0.0,2.0,3.0,1.0,5.0,4.0,8.0,6.0,10.0,13.0,7.0,9.0,17.0,12.0,16.0,19.0,14.0,15.0,18.0,11.0,21.0,20.0,22.0
1075,1.0,0.0,2.0,3.0,7.0,4.0,6.0,8.0,5.0,12.0,10.0,11.0,14.0,18.0,13.0,9.0,15.0,21.0,16.0,17.0,20.0,19.0,22.0
1124,0.0,1.0,2.0,3.0,6.0,4.0,7.0,9.0,10.0,5.0,8.0,12.0,16.0,11.0,17.0,18.0,13.0,14.0,19.0,15.0,21.0,20.0,22.0
1173,2.0,1.0,3.0,0.0,8.0,4.0,5.0,6.0,7.0,11.0,9.0,13.0,10.0,12.0,19.0,14.0,16.0,15.0,17.0,18.0,20.0,21.0,22.0
1222,0.0,1.0,2.0,3.0,6.0,4.0,9.0,8.0,7.0,12.0,13.0,5.0,11.0,19.0,17.0,10.0,15.0,16.0,14.0,18.0,21.0,20.0,22.0
1271,0.0,3.0,1.0,2.0,7.0,4.0,5.0,8.0,6.0,9.0,11.0,14.0,12.0,10.0,19.0,18.0,15.0,13.0,16.0,17.0,20.0,21.0,22.0
1320,0.0,1.0,3.0,2.0,8.0,6.0,5.0,4.0,7.0,11.0,9.0,10.0,17.0,14.0,12.0,16.0,19.0,15.0,18.0,13.0,20.0,21.0,22.0
1369,2.0,0.0,3.0,1.0,8.0,4.0,5.0,7.0,9.0,16.0,6.0,15.0,12.0,10.0,18.0,11.0,14.0,13.0,17.0,19.0,21.0,20.0,22.0
1418,2.0,0.0,1.0,3.0,6.0,4.0,5.0,8.0,7.0,13.0,9.0,11.0,16.0,10.0,19.0,15.0,14.0,12.0,17.0,18.0,20.0,21.0,22.0
1467,1.0,3.0,2.0,0.0,5.0,4.0,6.0,9.0,7.0,12.0,10.0,11.0,16.0,8.0,18.0,15.0,13.0,14.0,19.0,17.0,21.0,20.0,22.0
1516,0.0,2.0,1.0,3.0,8.0,4.0,5.0,6.0,9.0,7.0,14.0,12.0,15.0,19.0,10.0,13.0,17.0,16.0,11.0,18.0,21.0,20.0,22.0
1565,0.0,1.0,2.0,3.0,6.0,5.0,7.0,8.0,12.0,11.0,14.0,13.0,15.0,9.0,4.0,19.0,17.0,16.0,10.0,18.0,20.0,21.0,22.0
1614,0.0,1.0,2.0,3.0,9.0,4.0,6.0,11.0,5.0,7.0,14.0,13.0,15.0,10.0,8.0,19.0,17.0,16.0,12.0,18.0,20.0,21.0,22.0
1663,1.0,0.0,2.0,3.0,5.0,6.0,9.0,8.0,7.0,11.0,14.0,4.0,18.0,12.0,10.0,15.0,17.0,16.0,13.0,19.0,20.0,21.0,22.0
1712,0.0,1.0,2.0,3.0,7.0,4.0,5.0,10.0,8.0,14.0,12.0,9.0,19.0,11.0,13.0,6.0,16.0,15.0,18.0,17.0,20.0,21.0,22.0
1761,1.0,0.0,2.0,3.0,6.0,4.0,5.0,9.0,14.0,10.0,20.0,7.0,18.0,12.0,13.0,8.0,15.0,17.0,16.0,11.0,21.0,19.0,22.0
1810,1.0,2.0,0.0,3.0,7.0,4.0,6.0,10.0,9.0,14.0,15.0,8.0,16.0,5.0,11.0,13.0,17.0,21.0,12.0,18.0,20.0,19.0,22.0
1859,0.0,1.0,2.0,3.0,5.0,6.0,4.0,7.0,10.0,12.0,14.0,8.0,16.0,11.0,9.0,13.0,17.0,15.0,19.0,18.0,20.0,21.0,22.0
1908,2.0,0.0,1.0,5.0,4.0,3.0,6.0,8.0,13.0,15.0,14.0,7.0,18.0,10.0,9.0,12.0,17.0,16.0,11.0,19.0,20.0,21.0,22.0
1957,0.0,2.0,1.0,3.0,5.0,4.0,6.0,10.0,15.0,13.0,12.0,14.0,9.0,18.0,8.0,11.0,19.0,16.0,7.0,17.0,20.0,21.0,22.0
2006,0.0,2.0,1.0,3.0,7.0,5.0,6.0,12.0,8.0,9.0,13.0,4.0,10.0,11.0,15.0,17.0,19.0,14.0,16.0,18.0,20.0,21.0,22.0
2055,0.0,1.0,2.0,3.0,9.0,4.0,14.0,8.0,7.0,6.0,12.0,5.0,11.0,10.0,13.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
2104,1.0,0.0,2.0,3.0,4.0,6.0,7.0,10.0,5.0,8.0,13.0,9.0,12.0,11.0,16.0,17.0,15.0,14.0,18.0,19.0,20.0,21.0,22.0
2153,0.0,1.0,2.0,3.0,5.0,4.0,7.0,11.0,9.0,8.0,14.0,6.0,10.0,12.0,18.0,15.0,17.0,16.0,13.0,19.0,20.0,21.0,22.0
2202,0.0,1.0,2.0,3.0,9.0,4.0,7.0,10.0,11.0,6.0,19.0,5.0,12.0,8.0,15.0,14.0,16.0,21.0,13.0,17.0,20.0,18.0,22.0
2251,0.0,1.0,2.0,3.0,5.0,4.0,7.0,9.0,12.0,8.0,13.0,6.0,11.0,10.0,15.0,17.0,18.0,16.0,14.0,19.0,20.0,21.0,22.0
2300,0.0,2.0,1.0,3.0,5.0,4.0,9.0,7.0,10.0,8.0,12.0,6.0,13.0,11.0,18.0,14.0,15.0,16.0,17.0,19.0,21.0,20.0,22.0
2349,0.0,1.0,2.0,4.0,3.0,8.0,7.0,11.0,10.0,5.0,13.0,6.0,9.0,16.0,14.0,15.0,18.0,19.0,17.0,12.0,21.0,20.0,22.0
2398,2.0,0.0,1.0,3.0,8.0,7.0,6.0,9.0,10.0,5.0,13.0,4.0,12.0,11.0,17.0,14.0,15.0,16.0,19.0,18.0,21.0,20.0,22.0
2447,0.0,2.0,1.0,3.0,7.0,5.0,9.0,8.0,11.0,4.0,14.0,6.0,10.0,16.0,13.0,15.0,18.0,17.0,12.0,19.0,20.0,21.0,22.0
2496,2.0,3.0,0.0,1.0,4.0,5.0,10.0,9.0,6.0,7.0,11.0,12.0,14.0,8.0,13.0,17.0,16.0,15.0,19.0,18.0,20.0,21.0,22.0
2545,2.0,4.0,0.0,1.0,3.0,7.0,13.0,5.0,9.0,6.0,14.0,8.0,10.0,11.0,15.0,12.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
2594,0.0,2.0,1.0,3.0,4.0,5.0,12.0,7.0,10.0,8.0,11.0,14.0,9.0,6.0,13.0,15.0,19.0,16.0,18.0,17.0,20.0,21.0,22.0
2643,2.0,5.0,1.0,0.0,4.0,7.0,8.0,3.0,6.0,11.0,13.0,10.0,12.0,9.0,18.0,14.0,15.0,16.0,17.0,19.0,21.0,20.0,22.0
2692,0.0,2.0,1.0,3.0,5.0,4.0,8.0,7.0,10.0,9.0,12.0,15.0,11.0,6.0,14.0,13.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
2741,1.0,3.0,0.0,2.0,5.0,4.0,9.0,6.0,7.0,8.0,16.0,15.0,12.0,10.0,13.0,11.0,18.0,17.0,19.0,14.0,20.0,21.0,22.0
2790,0.0,3.0,1.0,2.0,5.0,4.0,8.0,7.0,6.0,9.0,13.0,14.0,10.0,11.0,15.0,12.0,17.0,16.0,18.0,19.0,20.0,21.0,22.0
2839,0.0,2.0,1.0,3.0,4.0,5.0,12.0,9.0,6.0,7.0,16.0,13.0,10.0,8.0,15.0,11.0,18.0,17.0,14.0,19.0,20.0,21.0,22.0
2888,0.0,3.0,1.0,2.0,5.0,4.0,8.0,10.0,9.0,6.0,12.0,14.0,13.0,7.0,15.0,11.0,16.0,21.0,17.0,18.0,20.0,19.0,22.0
2937,2.0,1.0,0.0,3.0,5.0,4.0,6.0,12.0,7.0,10.0,9.0,13.0,14.0,8.0,15.0,11.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
2986,1.0,2.0,0.0,5.0,4.0,3.0,12.0,8.0,9.0,7.0,10.0,6.0,16.0,13.0,14.0,11.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0
3035,0.0,2.0,1.0,3.0,5.0,4.0,8.0,6.0,11.0,7.0,15.0,10.0,13.0,12.0,9.0,14.0,17.0,16.0,19.0,18.0,20.0,21.0,22.0
3084,0.0,4.0,3.0,1.0,6.0,2.0,12.0,5.0,7.0,10.0,11.0,9.0,8.0,14.0,16.0,17.0,19.0,13.0,18.0,15.0,20.0,21.0,22.0
3133,0.0,2.0,1.0,3.0,6.0,5.0,10.0,7.0,4.0,9.0,12.0,11.0,13.0,17.0,16.0,8.0,15.0,14.0,19.0,18.0,20.0,21.0,22.0
3182,0.0,3.0,1.0,2.0,4.0,5.0,10.0,6.0,11.0,8.0,9.0,13.0,7.0,12.0,17.0,14.0,15.0,16.0,18.0,19.0,21.0,20.0,22.0
3231,0.0,4.0,1.0,3.0,2.0,5.0,10.0,9.0,11.0,8.0,7.0,6.0,12.0,18.0,14.0,13.0,16.0,15.0,19.0,17.0,20.0,21.0,22.0
3280,0.0,2.0,1.0,3.0,6.0,4.0,15.0,7.0,9.0,11.0,10.0,8.0,13.0,5.0,12.0,17.0,16.0,14.0,19.0,18.0,20.0,21.0,22.0
3329,0.0,2.0,1.0,4.0,6.0,3.0,10.0,8.0,11.0,5.0,9.0,7.0,12.0,13.0,14.0,19.0,15.0,16.0,18.0,17.0,21.0,20.0,22.0
3378,0.0,2.0,1.0,3.0,5.0,4.0,11.0,6.0,8.0,10.0,9.0,7.0,13.0,12.0,15.0,14.0,16.0,18.0,19.0,17.0,21.0,20.0,22.0
3427,0.0,1.0,2.0,3.0,9.0,4.0,10.0,5.0,11.0,7.0,8.0,6.0,13.0,17.0,12.0,16.0,15.0,21.0,18.0,14.0,20.0,19.0,22.0
3476,0.0,2.0,1.0,3.0,4.0,6.0,5.0,7.0,14.0,9.0,11.0,13.0,10.0,17.0,12.0,8.0,16.0,15.0,19.0,18.0,20.0,21.0,22.0
3525,1.0,2.0,0.0,4.0,3.0,5.0,7.0,8.0,6.0,11.0,10.0,12.0,9.0,18.0,14.0,17.0,15.0,16.0,13.0,19.0,21.0,20.0,22.0
3574,0.0,3.0,1.0,2.0,4.0,5.0,7.0,8.0,14.0,11.0,13.0,6.0,10.0,12.0,18.0,15.0,17.0,16.0,9.0,19.0,20.0,21.0,22.0
3623,1.0,2.0,0.0,3.0,4.0,5.0,6.0,7.0,14.0,9.0,8.0,11.0,10.0,18.0,13.0,15.0,17.0,16.0,12.0,19.0,21.0,20.0,22.0
3672,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,11.0,14.0,9.0,10.0,19.0,17.0,18.0,16.0,15.0,12.0,13.0,20.0,21.0,22.0
3721,0.0,2.0,1.0,3.0,4.0,5.0,7.0,8.0,12.0,11.0,9.0,10.0,6.0,19.0,17.0,15.0,16.0,14.0,13.0,18.0,20.0,21.0,22.0
3770,1.0,2.0,0.0,3.0,7.0,5.0,4.0,6.0,12.0,9.0,10.0,11.0,8.0,19.0,14.0,17.0,15.0,16.0,13.0,18.0,21.0,20.0,22.0
3819,0.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,11.0,14.0,7.0,10.0,9.0,17.0,12.0,15.0,18.0,21.0,13.0,16.0,20.0,19.0,22.0
3868,0.0,2.0,1.0,4.0,3.0,5.0,6.0,7.0,12.0,9.0,10.0,11.0,8.0,17.0,16.0,13.0,14.0,15.0,19.0,18.0,21.0,20.0,22.0
3917,0.0,3.0,1.0,4.0,2.0,5.0,7.0,6.0,14.0,11.0,9.0,13.0,8.0,19.0,10.0,15.0,17.0,16.0,12.0,18.0,21.0,20.0,22.0
3966,2.0,1.0,0.0,3.0,4.0,5.0,6.0,10.0,7.0,8.0,9.0,13.0,15.0,17.0,14.0,16.0,12.0,11.0,18.0,19.0,20.0,21.0,22.0
4015,0.0,1.0,2.0,3.0,4.0,7.0,5.0,11.0,8.0,9.0,10.0,6.0,12.0,14.0,18.0,13.0,15.0,17.0,16.0,19.0,21.0,20.0,22.0
4064,3.0,2.0,1.0,0.0,4.0,9.0,5.0,8.0,6.0,7.0,15.0,11.0,16.0,13.0,12.0,10.0,14.0,21.0,18.0,17.0,20.0,19.0,22.0
4113,0.0,1.0,2.0,3.0,4.0,5.0,7.0,10.0,6.0,9.0,8.0,12.0,14.0,17.0,11.0,13.0,15.0,16.0,19.0,18.0,21.0,20.0,22.0
4162,0.0,1.0,2.0,3.0,7.0,6.0,5.0,8.0,4.0,9.0,11.0,12.0,14.0,10.0,16.0,15.0,19.0,13.0,17.0,18.0,20.0,21.0,22.0
4211,0.0,3.0,1.0,2.0,4.0,7.0,5.0,9.0,6.0,8.0,10.0,11.0,16.0,12.0,13.0,15.0,18.0,17.0,19.0,14.0,20.0,21.0,22.0
4260,0.0,1.0,2.0,4.0,3.0,5.0,10.0,8.0,7.0,6.0,9.0,13.0,12.0,11.0,16.0,17.0,15.0,14.0,19.0,18.0,20.0,21.0,22.0
4309,1.0,0.0,2.0,3.0,4.0,6.0,5.0,9.0,7.0,10.0,8.0,11.0,13.0,12.0,18.0,17.0,15.0,14.0,19.0,16.0,20.0,21.0,22.0
4358,1.0,2.0,0.0,3.0,4.0,5.0,6.0,12.0,7.0,8.0,9.0,10.0,17.0,11.0,13.0,14.0,16.0,15.0,19.0,18.0,20.0,21.0,22.0
4407,0.0,1.0,2.0,3.0,5.0,4.0,7.0,8.0,9.0,13.0,10.0,12.0,17.0,6.0,11.0,14.0,18.0,16.0,19.0,15.0,20.0,21.0,22.0
4456,1.0,0.0,2.0,5.0,6.0,3.0,8.0,4.0,7.0,12.0,16.0,9.0,15.0,10.0,14.0,17.0,18.0,21.0,11.0,13.0,20.0,19.0,22.0
4505,0.0,2.0,1.0,7.0,4.0,3.0,6.0,5.0,8.0,12.0,10.0,9.0,11.0,13.0,14.0,15.0,18.0,21.0,16.0,17.0,20.0,19.0,22.0
4554,1.0,0.0,2.0,5.0,3.0,4.0,6.0,8.0,7.0,12.0,9.0,10.0,13.0,16.0,14.0,17.0,18.0,21.0,15.0,11.0,20.0,19.0,22.0
4603,0.0,1.0,2.0,5.0,6.0,4.0,7.0,3.0,8.0,11.0,10.0,15.0,12.0,13.0,14.0,16.0,18.0,21.0,17.0,9.0,20.0,19.0,22.0
4652,0.0,1.0,2.0,5.0,3.0,7.0,6.0,4.0,8.0,12.0,10.0,11.0,9.0,15.0,14.0,17.0,18.0,21.0,13.0,16.0,20.0,19.0,22.0
4701,1.0,0.0,2.0,6.0,5.0,4.0,7.0,3.0,8.0,13.0,11.0,9.0,10.0,15.0,14.0,17.0,18.0,21.0,16.0,12.0,20.0,19.0,22.0
4750,0.0,1.0,2.0,3.0,5.0,4.0,8.0,6.0,7.0,11.0,13.0,9.0,10.0,14.0,15.0,16.0,18.0,21.0,17.0,12.0,20.0,19.0,22.0
4799,0.0,1.0,4.0,5.0,6.0,3.0,7.0,2.0,8.0,10.0,11.0,9.0,12.0,14.0,13.0,17.0,18.0,21.0,16.0,15.0,20.0,19.0,22.0
4848,0.0,1.0,2.0,6.0,3.0,4.0,7.0,5.0,8.0,12.0,9.0,10.0,13.0,14.0,16.0,17.0,18.0,21.0,15.0,11.0,20.0,19.0,22.0
4897,0.0,1.0,2.0,5.0,8.0,4.0,6.0,3.0,9.0,14.0,10.0,7.0,11.0,17.0,15.0,16.0,18.0,21.0,12.0,13.0,20.0,19.0,22.0
