, JAK-STAT, MAPK_PI3K, H2O2, IL-1, MAPK_only, TLR, TGFB, TNFa, Wnt, PI3K_only, VEGF
39,1.0,0.0,4.0,3.0,2.0,6.0,5.0,9.0,7.0,8.0,10.0
88,0.0,1.0,4.0,2.0,3.0,5.0,6.0,8.0,10.0,7.0,9.0
137,0.0,1.0,3.0,2.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
186,0.0,1.0,4.0,3.0,2.0,5.0,7.0,8.0,9.0,6.0,10.0
235,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
284,0.0,1.0,4.0,3.0,2.0,5.0,7.0,9.0,8.0,6.0,10.0
333,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0
382,0.0,1.0,3.0,2.0,4.0,7.0,5.0,6.0,9.0,8.0,10.0
431,0.0,1.0,4.0,2.0,3.0,6.0,5.0,8.0,7.0,10.0,9.0
480,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0
529,0.0,1.0,2.0,3.0,4.0,5.0,8.0,6.0,7.0,10.0,9.0
578,0.0,1.0,3.0,2.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
627,0.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,7.0,10.0,8.0
676,1.0,0.0,3.0,2.0,4.0,6.0,5.0,8.0,7.0,10.0,9.0
725,0.0,1.0,3.0,2.0,4.0,6.0,8.0,5.0,7.0,10.0,9.0
774,0.0,1.0,3.0,2.0,4.0,5.0,8.0,7.0,6.0,10.0,9.0
823,0.0,1.0,2.0,4.0,3.0,6.0,7.0,5.0,8.0,10.0,9.0
872,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
921,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
970,0.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,7.0,8.0,10.0
1019,1.0,0.0,4.0,3.0,5.0,2.0,6.0,10.0,7.0,8.0,9.0
1068,1.0,0.0,4.0,2.0,3.0,5.0,8.0,7.0,10.0,6.0,9.0
1117,1.0,0.0,3.0,2.0,5.0,4.0,6.0,9.0,8.0,7.0,10.0
1166,1.0,0.0,4.0,3.0,2.0,5.0,7.0,6.0,8.0,9.0,10.0
1215,1.0,0.0,2.0,3.0,4.0,8.0,5.0,6.0,9.0,7.0,10.0
1264,1.0,0.0,3.0,2.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0
1313,1.0,0.0,4.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
1362,1.0,0.0,2.0,4.0,3.0,6.0,7.0,5.0,9.0,8.0,10.0
1411,1.0,0.0,3.0,2.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0
1460,1.0,0.0,3.0,4.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0
1509,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,9.0,8.0,10.0
1558,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0
1607,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,8.0,9.0,10.0
1656,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,10.0,9.0,8.0
1705,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,7.0,10.0,9.0
1754,0.0,1.0,2.0,3.0,6.0,5.0,4.0,7.0,9.0,8.0,10.0
1803,1.0,0.0,2.0,3.0,4.0,7.0,5.0,8.0,9.0,10.0,6.0
1852,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,10.0,8.0,9.0
1901,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,9.0,7.0,10.0
1950,1.0,0.0,3.0,2.0,7.0,6.0,5.0,4.0,8.0,9.0,10.0
1999,0.0,1.0,2.0,4.0,6.0,3.0,8.0,7.0,5.0,9.0,10.0
2048,0.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,7.0,8.0,10.0
2097,0.0,1.0,3.0,2.0,5.0,4.0,8.0,6.0,7.0,10.0,9.0
2146,0.0,1.0,2.0,3.0,5.0,4.0,8.0,9.0,7.0,6.0,10.0
2195,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,10.0,8.0,9.0
2244,0.0,1.0,2.0,3.0,4.0,6.0,8.0,5.0,9.0,7.0,10.0
2293,0.0,1.0,2.0,3.0,5.0,4.0,6.0,9.0,8.0,7.0,10.0
2342,0.0,1.0,3.0,2.0,8.0,4.0,7.0,5.0,6.0,9.0,10.0
2391,0.0,1.0,3.0,2.0,9.0,4.0,5.0,7.0,8.0,6.0,10.0
2440,0.0,1.0,2.0,3.0,9.0,4.0,7.0,5.0,6.0,8.0,10.0
2489,0.0,1.0,2.0,3.0,4.0,5.0,9.0,7.0,8.0,6.0,10.0
2538,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,9.0,8.0,10.0
2587,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
2636,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2685,1.0,0.0,3.0,4.0,2.0,5.0,6.0,7.0,9.0,8.0,10.0
2734,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0
2783,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
2832,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,8.0
2881,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
2930,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
2979,1.0,0.0,2.0,3.0,4.0,7.0,8.0,6.0,5.0,9.0,10.0
3028,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,10.0,9.0
3077,0.0,1.0,2.0,3.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0
3126,0.0,1.0,2.0,3.0,4.0,8.0,6.0,5.0,9.0,7.0,10.0
3175,1.0,0.0,2.0,3.0,4.0,7.0,6.0,5.0,9.0,8.0,10.0
3224,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
3273,0.0,1.0,3.0,2.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
3322,0.0,1.0,2.0,4.0,3.0,7.0,6.0,8.0,5.0,9.0,10.0
3371,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0
3420,0.0,1.0,3.0,2.0,7.0,5.0,4.0,6.0,8.0,10.0,9.0
3469,1.0,0.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0
3518,1.0,0.0,3.0,2.0,6.0,4.0,7.0,5.0,9.0,8.0,10.0
3567,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,8.0,9.0,10.0
3616,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,10.0,9.0,8.0
3665,1.0,0.0,3.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
3714,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,10.0,8.0,9.0
3763,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0
3812,1.0,0.0,3.0,2.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
3861,1.0,0.0,3.0,2.0,5.0,4.0,6.0,7.0,10.0,8.0,9.0
3910,1.0,0.0,3.0,2.0,4.0,5.0,7.0,6.0,10.0,8.0,9.0
3959,0.0,1.0,3.0,2.0,4.0,5.0,8.0,6.0,9.0,7.0,10.0
4008,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
4057,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,9.0,8.0,10.0
4106,0.0,1.0,3.0,2.0,5.0,4.0,8.0,6.0,7.0,9.0,10.0
4155,0.0,1.0,4.0,2.0,5.0,3.0,9.0,7.0,6.0,8.0,10.0
4204,0.0,3.0,1.0,2.0,6.0,4.0,5.0,7.0,8.0,10.0,9.0
4253,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4302,0.0,1.0,2.0,5.0,4.0,3.0,8.0,6.0,9.0,7.0,10.0
4351,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,8.0,9.0,10.0
4400,1.0,0.0,2.0,5.0,3.0,4.0,7.0,6.0,8.0,9.0,10.0
4449,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,9.0,10.0,8.0
4498,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
4547,0.0,1.0,2.0,5.0,3.0,4.0,7.0,6.0,10.0,9.0,8.0
4596,0.0,1.0,2.0,3.0,6.0,4.0,7.0,5.0,10.0,8.0,9.0
4645,1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
4694,0.0,2.0,1.0,4.0,5.0,6.0,3.0,7.0,8.0,9.0,10.0
4743,0.0,1.0,2.0,4.0,3.0,6.0,5.0,7.0,10.0,9.0,8.0
4792,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,10.0,9.0
4841,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
4890,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,10.0,8.0,9.0
