,GABA,UMP,C18:0 LPC,alpha-glycerophosphate,C56:5 TAG,2-deoxyadenosine,pantothenate,DHAP/glyceraldehyde 3P,serotonin,glutamine,niacinamide,C36:4 PC-B,beta-alanine,dCMP,asparagine,serine,C18:0 LPE,taurodeoxycholate,valerylcarnitine,adenosine,C16:0 LPE,putrescine,oxalate,alpha-glycerophosphocholine,cytidine,cystathionine,palmitoylcarnitine,cotinine,butyrylcarnitine/isobutyrylcarnitine,cis/trans-hydroxyproline
807,0.0,3.0,14.0,6.0,19.0,20.0,18.0,1.0,4.0,13.0,21.0,11.0,12.0,2.0,7.0,5.0,8.0,27.0,17.0,9.0,15.0,36.0,35.0,23.0,16.0,39.0,26.0,33.0,34.0,37.0
856,2.0,3.0,20.0,1.0,11.0,4.0,6.0,0.0,18.0,12.0,5.0,9.0,10.0,17.0,16.0,15.0,25.0,19.0,14.0,23.0,7.0,36.0,28.0,27.0,8.0,34.0,21.0,39.0,22.0,53.0
905,1.0,2.0,9.0,3.0,4.0,13.0,6.0,0.0,10.0,14.0,18.0,5.0,25.0,7.0,17.0,8.0,11.0,15.0,34.0,19.0,16.0,31.0,21.0,35.0,22.0,32.0,36.0,20.0,12.0,42.0
954,3.0,4.0,7.0,26.0,2.0,9.0,20.0,0.0,1.0,12.0,24.0,6.0,23.0,10.0,5.0,19.0,14.0,35.0,8.0,27.0,38.0,29.0,18.0,47.0,13.0,17.0,32.0,33.0,41.0,31.0
1003,0.0,1.0,2.0,6.0,3.0,13.0,17.0,18.0,14.0,15.0,5.0,8.0,9.0,21.0,27.0,30.0,10.0,24.0,16.0,4.0,26.0,11.0,37.0,34.0,28.0,12.0,32.0,7.0,42.0,29.0
1052,0.0,2.0,1.0,4.0,12.0,19.0,8.0,31.0,14.0,21.0,6.0,3.0,9.0,27.0,26.0,18.0,17.0,16.0,5.0,15.0,24.0,11.0,30.0,39.0,20.0,13.0,22.0,7.0,45.0,23.0
1101,0.0,1.0,8.0,4.0,5.0,3.0,12.0,18.0,6.0,14.0,7.0,2.0,17.0,16.0,28.0,30.0,9.0,20.0,26.0,10.0,22.0,11.0,25.0,32.0,38.0,21.0,24.0,13.0,46.0,19.0
1150,1.0,2.0,0.0,4.0,3.0,5.0,12.0,16.0,6.0,9.0,15.0,11.0,10.0,13.0,34.0,18.0,23.0,33.0,28.0,17.0,25.0,14.0,21.0,24.0,20.0,27.0,19.0,7.0,42.0,32.0
1199,1.0,6.0,0.0,3.0,8.0,2.0,28.0,20.0,10.0,24.0,9.0,7.0,12.0,11.0,30.0,25.0,21.0,27.0,18.0,5.0,17.0,13.0,14.0,22.0,23.0,15.0,40.0,4.0,52.0,29.0
1248,0.0,1.0,2.0,6.0,7.0,19.0,3.0,27.0,9.0,13.0,4.0,14.0,22.0,16.0,37.0,21.0,18.0,29.0,10.0,15.0,34.0,20.0,12.0,28.0,11.0,26.0,30.0,8.0,31.0,38.0
1297,0.0,1.0,13.0,10.0,9.0,4.0,15.0,12.0,7.0,11.0,3.0,2.0,20.0,14.0,21.0,28.0,8.0,22.0,26.0,17.0,27.0,6.0,33.0,35.0,24.0,16.0,36.0,5.0,32.0,30.0
1346,0.0,3.0,2.0,4.0,14.0,6.0,11.0,20.0,10.0,12.0,5.0,7.0,21.0,13.0,24.0,23.0,16.0,32.0,19.0,8.0,31.0,9.0,25.0,42.0,17.0,15.0,26.0,1.0,30.0,40.0
1395,0.0,9.0,3.0,12.0,5.0,1.0,16.0,17.0,18.0,6.0,11.0,13.0,8.0,26.0,27.0,22.0,2.0,28.0,38.0,7.0,29.0,10.0,15.0,23.0,21.0,37.0,14.0,4.0,46.0,24.0
1444,5.0,1.0,0.0,2.0,3.0,8.0,14.0,20.0,9.0,21.0,11.0,10.0,16.0,25.0,23.0,38.0,12.0,30.0,17.0,6.0,32.0,18.0,37.0,15.0,13.0,19.0,26.0,4.0,46.0,31.0
1493,0.0,2.0,6.0,12.0,10.0,19.0,3.0,9.0,8.0,1.0,4.0,15.0,5.0,27.0,7.0,13.0,16.0,37.0,32.0,11.0,36.0,39.0,17.0,14.0,22.0,26.0,31.0,20.0,24.0,23.0
1542,0.0,6.0,17.0,3.0,5.0,14.0,8.0,4.0,13.0,1.0,20.0,16.0,18.0,21.0,28.0,7.0,11.0,39.0,22.0,15.0,10.0,40.0,2.0,9.0,43.0,23.0,29.0,12.0,26.0,30.0
1591,0.0,1.0,16.0,5.0,9.0,15.0,6.0,3.0,18.0,4.0,7.0,10.0,19.0,24.0,22.0,17.0,14.0,43.0,20.0,2.0,34.0,39.0,8.0,11.0,28.0,27.0,26.0,13.0,12.0,23.0
1640,0.0,1.0,2.0,5.0,14.0,12.0,9.0,8.0,16.0,7.0,10.0,22.0,11.0,23.0,17.0,6.0,15.0,42.0,24.0,4.0,13.0,18.0,19.0,3.0,32.0,29.0,31.0,27.0,30.0,21.0
1689,0.0,1.0,9.0,5.0,4.0,18.0,7.0,2.0,21.0,11.0,13.0,10.0,3.0,28.0,27.0,15.0,19.0,34.0,22.0,8.0,23.0,25.0,14.0,6.0,29.0,37.0,55.0,17.0,12.0,32.0
1738,0.0,1.0,21.0,9.0,6.0,14.0,5.0,7.0,12.0,3.0,2.0,4.0,11.0,30.0,20.0,23.0,10.0,41.0,25.0,13.0,18.0,43.0,8.0,15.0,27.0,28.0,39.0,33.0,17.0,29.0
1787,0.0,2.0,14.0,13.0,8.0,11.0,4.0,7.0,24.0,5.0,9.0,3.0,6.0,26.0,15.0,22.0,16.0,29.0,23.0,1.0,25.0,42.0,10.0,20.0,19.0,40.0,12.0,21.0,17.0,52.0
1836,0.0,1.0,12.0,3.0,5.0,17.0,9.0,6.0,15.0,2.0,11.0,8.0,24.0,20.0,14.0,16.0,13.0,41.0,25.0,7.0,36.0,34.0,10.0,4.0,23.0,22.0,29.0,38.0,18.0,27.0
1885,0.0,2.0,13.0,5.0,6.0,11.0,7.0,3.0,18.0,4.0,12.0,15.0,8.0,20.0,17.0,22.0,10.0,29.0,25.0,1.0,21.0,42.0,14.0,9.0,26.0,31.0,36.0,16.0,23.0,24.0
1934,0.0,2.0,18.0,4.0,6.0,23.0,11.0,1.0,13.0,9.0,17.0,10.0,30.0,21.0,27.0,7.0,8.0,15.0,25.0,3.0,20.0,36.0,12.0,19.0,29.0,33.0,32.0,5.0,22.0,14.0
1983,0.0,1.0,13.0,4.0,17.0,2.0,21.0,6.0,10.0,29.0,15.0,12.0,9.0,7.0,11.0,3.0,18.0,16.0,8.0,20.0,5.0,43.0,32.0,19.0,31.0,14.0,23.0,25.0,49.0,46.0
2032,0.0,1.0,8.0,7.0,4.0,12.0,3.0,6.0,9.0,5.0,2.0,16.0,10.0,15.0,20.0,11.0,19.0,14.0,18.0,25.0,13.0,22.0,24.0,45.0,30.0,29.0,48.0,42.0,28.0,41.0
2081,0.0,1.0,2.0,20.0,17.0,7.0,16.0,9.0,3.0,5.0,19.0,14.0,6.0,4.0,12.0,24.0,11.0,8.0,27.0,13.0,33.0,37.0,23.0,35.0,41.0,18.0,22.0,32.0,56.0,50.0
2130,0.0,3.0,2.0,9.0,4.0,19.0,8.0,5.0,11.0,12.0,10.0,7.0,22.0,1.0,15.0,18.0,38.0,14.0,6.0,26.0,16.0,28.0,23.0,31.0,20.0,24.0,29.0,45.0,43.0,51.0
2179,0.0,1.0,2.0,18.0,7.0,4.0,15.0,11.0,8.0,3.0,19.0,16.0,6.0,5.0,17.0,9.0,29.0,14.0,13.0,12.0,10.0,30.0,21.0,38.0,24.0,22.0,27.0,25.0,36.0,39.0
2228,0.0,3.0,4.0,8.0,1.0,6.0,13.0,9.0,20.0,5.0,10.0,2.0,7.0,18.0,12.0,23.0,25.0,11.0,21.0,16.0,14.0,19.0,33.0,40.0,31.0,15.0,38.0,29.0,37.0,45.0
2277,0.0,1.0,7.0,5.0,3.0,4.0,2.0,17.0,12.0,16.0,18.0,11.0,15.0,8.0,24.0,6.0,9.0,10.0,20.0,36.0,19.0,32.0,23.0,28.0,34.0,22.0,25.0,33.0,37.0,47.0
2326,0.0,1.0,15.0,6.0,4.0,12.0,11.0,8.0,19.0,9.0,17.0,3.0,5.0,2.0,18.0,7.0,22.0,13.0,14.0,20.0,16.0,34.0,28.0,33.0,41.0,37.0,25.0,44.0,57.0,46.0
2375,1.0,0.0,6.0,8.0,5.0,21.0,3.0,13.0,24.0,23.0,10.0,11.0,2.0,9.0,22.0,16.0,17.0,20.0,7.0,4.0,14.0,41.0,28.0,18.0,26.0,12.0,29.0,32.0,31.0,37.0
2424,0.0,9.0,1.0,15.0,7.0,13.0,8.0,11.0,4.0,6.0,5.0,10.0,3.0,2.0,14.0,17.0,20.0,12.0,21.0,19.0,18.0,41.0,23.0,30.0,52.0,16.0,26.0,31.0,37.0,49.0
2473,0.0,11.0,5.0,2.0,12.0,9.0,1.0,4.0,29.0,21.0,14.0,15.0,16.0,27.0,18.0,6.0,10.0,3.0,8.0,22.0,7.0,34.0,19.0,25.0,30.0,24.0,13.0,39.0,37.0,41.0
2522,1.0,8.0,0.0,2.0,5.0,4.0,15.0,11.0,35.0,6.0,13.0,12.0,14.0,17.0,10.0,22.0,9.0,3.0,7.0,16.0,20.0,31.0,28.0,41.0,25.0,19.0,18.0,29.0,33.0,27.0
2571,0.0,3.0,1.0,2.0,6.0,17.0,16.0,10.0,29.0,5.0,15.0,9.0,14.0,24.0,12.0,23.0,7.0,4.0,8.0,13.0,25.0,38.0,48.0,11.0,26.0,21.0,18.0,27.0,32.0,31.0
2620,0.0,5.0,1.0,2.0,3.0,10.0,18.0,7.0,22.0,4.0,31.0,6.0,23.0,15.0,13.0,8.0,14.0,17.0,21.0,11.0,19.0,9.0,36.0,20.0,33.0,27.0,12.0,28.0,24.0,40.0
2669,0.0,4.0,3.0,2.0,11.0,22.0,7.0,1.0,29.0,8.0,16.0,9.0,6.0,24.0,15.0,17.0,10.0,14.0,12.0,5.0,13.0,33.0,39.0,26.0,30.0,19.0,20.0,21.0,37.0,36.0
2718,1.0,5.0,7.0,3.0,0.0,2.0,11.0,15.0,29.0,8.0,16.0,4.0,6.0,36.0,17.0,9.0,10.0,14.0,13.0,19.0,21.0,30.0,31.0,18.0,24.0,54.0,12.0,22.0,32.0,25.0
2767,0.0,11.0,9.0,2.0,12.0,4.0,5.0,3.0,18.0,14.0,23.0,1.0,16.0,8.0,15.0,26.0,13.0,6.0,7.0,20.0,21.0,28.0,30.0,24.0,38.0,19.0,17.0,34.0,41.0,37.0
2816,0.0,1.0,3.0,5.0,4.0,12.0,7.0,2.0,19.0,18.0,13.0,21.0,14.0,20.0,23.0,6.0,16.0,8.0,10.0,9.0,11.0,40.0,37.0,29.0,22.0,45.0,41.0,33.0,25.0,30.0
2865,0.0,13.0,2.0,18.0,1.0,3.0,5.0,17.0,24.0,6.0,28.0,10.0,14.0,16.0,9.0,12.0,4.0,7.0,31.0,27.0,26.0,8.0,22.0,32.0,25.0,23.0,15.0,21.0,46.0,34.0
2914,1.0,4.0,3.0,0.0,9.0,8.0,2.0,16.0,17.0,10.0,15.0,5.0,14.0,32.0,7.0,42.0,22.0,6.0,12.0,11.0,23.0,13.0,30.0,29.0,21.0,20.0,26.0,19.0,27.0,45.0
2963,0.0,7.0,4.0,3.0,10.0,2.0,5.0,1.0,11.0,12.0,6.0,20.0,15.0,8.0,22.0,19.0,17.0,9.0,18.0,24.0,28.0,23.0,16.0,21.0,25.0,31.0,26.0,13.0,30.0,29.0
3012,0.0,5.0,1.0,2.0,12.0,9.0,4.0,10.0,6.0,26.0,3.0,24.0,16.0,17.0,20.0,11.0,25.0,7.0,8.0,22.0,13.0,14.0,18.0,40.0,15.0,23.0,27.0,37.0,32.0,33.0
3061,1.0,6.0,10.0,3.0,12.0,2.0,0.0,20.0,4.0,32.0,8.0,28.0,11.0,7.0,17.0,23.0,14.0,5.0,16.0,36.0,15.0,9.0,18.0,26.0,27.0,25.0,13.0,35.0,44.0,47.0
3110,0.0,5.0,3.0,2.0,11.0,7.0,1.0,4.0,6.0,14.0,16.0,13.0,10.0,12.0,17.0,15.0,26.0,24.0,8.0,42.0,20.0,18.0,30.0,19.0,9.0,25.0,23.0,32.0,22.0,34.0
3159,1.0,20.0,0.0,3.0,2.0,8.0,5.0,10.0,14.0,24.0,6.0,22.0,15.0,4.0,26.0,19.0,16.0,12.0,7.0,34.0,18.0,11.0,13.0,23.0,17.0,21.0,25.0,27.0,37.0,33.0
3208,5.0,8.0,2.0,4.0,19.0,3.0,0.0,9.0,12.0,22.0,11.0,30.0,20.0,13.0,14.0,16.0,7.0,1.0,15.0,10.0,23.0,27.0,21.0,29.0,25.0,17.0,35.0,6.0,33.0,24.0
3257,0.0,23.0,1.0,14.0,7.0,3.0,4.0,12.0,13.0,10.0,6.0,11.0,9.0,8.0,28.0,2.0,22.0,19.0,15.0,21.0,5.0,26.0,17.0,25.0,29.0,32.0,18.0,16.0,20.0,27.0
3306,0.0,6.0,1.0,3.0,11.0,21.0,4.0,8.0,5.0,14.0,2.0,12.0,10.0,13.0,36.0,33.0,18.0,7.0,9.0,22.0,25.0,24.0,27.0,30.0,17.0,37.0,29.0,15.0,19.0,38.0
3355,0.0,11.0,2.0,3.0,4.0,7.0,1.0,12.0,5.0,15.0,8.0,21.0,17.0,10.0,13.0,20.0,29.0,9.0,6.0,22.0,19.0,24.0,25.0,30.0,14.0,31.0,16.0,36.0,18.0,44.0
3404,0.0,11.0,3.0,5.0,18.0,19.0,2.0,16.0,13.0,21.0,4.0,23.0,1.0,9.0,15.0,22.0,27.0,7.0,6.0,34.0,8.0,12.0,20.0,24.0,26.0,25.0,47.0,17.0,28.0,29.0
3453,0.0,2.0,9.0,8.0,1.0,5.0,6.0,10.0,24.0,7.0,12.0,3.0,11.0,14.0,13.0,36.0,17.0,25.0,41.0,31.0,15.0,23.0,28.0,4.0,18.0,30.0,16.0,47.0,34.0,22.0
3502,0.0,3.0,12.0,8.0,5.0,1.0,19.0,21.0,6.0,10.0,25.0,2.0,24.0,15.0,7.0,23.0,14.0,4.0,27.0,36.0,22.0,11.0,17.0,28.0,13.0,20.0,9.0,38.0,45.0,30.0
3551,0.0,7.0,1.0,2.0,6.0,5.0,15.0,4.0,10.0,20.0,18.0,13.0,3.0,14.0,8.0,16.0,30.0,27.0,19.0,38.0,9.0,24.0,32.0,28.0,23.0,12.0,17.0,37.0,41.0,31.0
3600,0.0,1.0,4.0,5.0,7.0,14.0,15.0,2.0,10.0,9.0,13.0,3.0,25.0,6.0,11.0,19.0,33.0,17.0,29.0,22.0,23.0,12.0,35.0,16.0,31.0,20.0,8.0,39.0,50.0,18.0
3649,0.0,5.0,1.0,9.0,2.0,3.0,7.0,8.0,15.0,16.0,10.0,12.0,24.0,23.0,4.0,22.0,35.0,11.0,13.0,14.0,19.0,31.0,34.0,37.0,26.0,18.0,6.0,40.0,49.0,21.0
3698,0.0,8.0,1.0,4.0,2.0,3.0,18.0,7.0,9.0,21.0,16.0,5.0,11.0,19.0,6.0,27.0,36.0,10.0,26.0,30.0,15.0,22.0,24.0,28.0,23.0,12.0,20.0,33.0,41.0,31.0
3747,0.0,1.0,2.0,7.0,3.0,10.0,20.0,6.0,16.0,13.0,23.0,4.0,9.0,27.0,11.0,14.0,26.0,5.0,25.0,22.0,24.0,19.0,29.0,12.0,18.0,34.0,8.0,33.0,40.0,30.0
3796,0.0,3.0,6.0,10.0,1.0,2.0,11.0,14.0,8.0,4.0,32.0,12.0,24.0,16.0,9.0,25.0,34.0,5.0,31.0,35.0,22.0,23.0,29.0,27.0,26.0,17.0,13.0,30.0,40.0,20.0
3845,0.0,1.0,3.0,8.0,2.0,4.0,9.0,6.0,19.0,18.0,10.0,5.0,27.0,23.0,15.0,14.0,28.0,11.0,22.0,31.0,30.0,12.0,36.0,21.0,16.0,13.0,7.0,37.0,34.0,32.0
3894,1.0,7.0,4.0,17.0,0.0,5.0,3.0,9.0,6.0,8.0,13.0,11.0,18.0,23.0,2.0,26.0,15.0,10.0,34.0,27.0,14.0,24.0,30.0,19.0,12.0,16.0,21.0,39.0,25.0,22.0
3943,0.0,1.0,4.0,5.0,2.0,11.0,3.0,7.0,6.0,13.0,10.0,17.0,22.0,14.0,12.0,8.0,19.0,23.0,18.0,29.0,26.0,15.0,16.0,33.0,9.0,25.0,34.0,28.0,21.0,36.0
3992,0.0,2.0,5.0,13.0,3.0,4.0,22.0,1.0,8.0,12.0,25.0,9.0,24.0,20.0,10.0,6.0,15.0,14.0,17.0,23.0,7.0,11.0,19.0,18.0,21.0,32.0,26.0,27.0,16.0,38.0
4041,0.0,1.0,6.0,9.0,3.0,15.0,11.0,5.0,2.0,13.0,14.0,22.0,8.0,25.0,19.0,16.0,7.0,28.0,20.0,38.0,17.0,4.0,21.0,24.0,12.0,27.0,35.0,31.0,29.0,46.0
4090,0.0,13.0,2.0,3.0,1.0,4.0,8.0,17.0,7.0,6.0,15.0,26.0,20.0,5.0,16.0,9.0,21.0,19.0,14.0,35.0,18.0,11.0,10.0,22.0,24.0,37.0,29.0,27.0,12.0,33.0
4139,0.0,2.0,17.0,4.0,3.0,5.0,6.0,8.0,1.0,14.0,13.0,20.0,16.0,10.0,7.0,19.0,9.0,15.0,18.0,37.0,25.0,12.0,11.0,31.0,23.0,26.0,36.0,34.0,27.0,48.0
4188,0.0,4.0,2.0,8.0,10.0,5.0,16.0,3.0,9.0,7.0,15.0,22.0,19.0,1.0,20.0,11.0,27.0,37.0,18.0,25.0,6.0,13.0,17.0,21.0,14.0,32.0,36.0,23.0,12.0,33.0
4237,0.0,15.0,5.0,7.0,1.0,20.0,3.0,11.0,2.0,18.0,8.0,14.0,19.0,23.0,13.0,4.0,17.0,27.0,12.0,9.0,22.0,35.0,6.0,16.0,26.0,43.0,33.0,30.0,10.0,34.0
4286,1.0,0.0,6.0,3.0,4.0,14.0,5.0,7.0,2.0,9.0,17.0,25.0,19.0,15.0,8.0,16.0,10.0,23.0,13.0,30.0,20.0,37.0,12.0,21.0,11.0,33.0,29.0,31.0,24.0,32.0
4335,0.0,1.0,5.0,4.0,6.0,10.0,14.0,2.0,3.0,16.0,13.0,12.0,38.0,9.0,8.0,22.0,18.0,11.0,23.0,17.0,29.0,7.0,19.0,26.0,28.0,32.0,21.0,27.0,15.0,37.0
4384,0.0,4.0,2.0,10.0,1.0,7.0,8.0,11.0,5.0,13.0,3.0,14.0,33.0,28.0,6.0,9.0,17.0,38.0,12.0,37.0,30.0,15.0,29.0,18.0,19.0,20.0,16.0,46.0,24.0,39.0
4433,0.0,2.0,32.0,9.0,3.0,4.0,11.0,15.0,10.0,5.0,7.0,24.0,8.0,17.0,26.0,16.0,6.0,34.0,51.0,25.0,19.0,1.0,27.0,12.0,37.0,47.0,20.0,33.0,45.0,22.0
4482,0.0,1.0,14.0,6.0,5.0,7.0,8.0,26.0,11.0,3.0,10.0,19.0,9.0,18.0,16.0,25.0,4.0,30.0,50.0,24.0,20.0,2.0,35.0,15.0,17.0,31.0,45.0,29.0,43.0,32.0
4531,0.0,1.0,23.0,8.0,4.0,3.0,9.0,27.0,7.0,10.0,13.0,21.0,6.0,22.0,26.0,41.0,5.0,11.0,34.0,12.0,37.0,2.0,32.0,14.0,28.0,50.0,48.0,20.0,33.0,40.0
4580,0.0,1.0,32.0,8.0,2.0,5.0,7.0,12.0,14.0,6.0,9.0,15.0,4.0,18.0,17.0,21.0,11.0,30.0,37.0,27.0,24.0,3.0,16.0,10.0,31.0,51.0,49.0,22.0,35.0,25.0
4629,0.0,5.0,9.0,6.0,2.0,8.0,4.0,28.0,27.0,3.0,14.0,10.0,7.0,23.0,16.0,31.0,25.0,33.0,34.0,41.0,21.0,1.0,19.0,15.0,18.0,54.0,32.0,13.0,50.0,24.0
4678,0.0,1.0,15.0,9.0,5.0,4.0,3.0,6.0,13.0,7.0,8.0,22.0,11.0,35.0,32.0,24.0,10.0,17.0,53.0,39.0,28.0,2.0,23.0,29.0,30.0,52.0,19.0,12.0,46.0,25.0
4727,0.0,1.0,18.0,11.0,4.0,3.0,6.0,14.0,7.0,5.0,16.0,12.0,8.0,10.0,13.0,23.0,9.0,17.0,30.0,42.0,31.0,2.0,25.0,24.0,39.0,52.0,28.0,22.0,58.0,34.0
4776,0.0,1.0,30.0,3.0,4.0,10.0,7.0,8.0,9.0,5.0,11.0,12.0,13.0,19.0,20.0,18.0,6.0,17.0,37.0,23.0,27.0,2.0,22.0,16.0,48.0,52.0,49.0,15.0,28.0,24.0
4825,0.0,1.0,23.0,14.0,13.0,11.0,4.0,17.0,9.0,6.0,12.0,10.0,15.0,24.0,16.0,8.0,3.0,5.0,50.0,43.0,34.0,2.0,22.0,31.0,27.0,37.0,33.0,18.0,39.0,26.0
4874,0.0,1.0,27.0,2.0,6.0,7.0,5.0,13.0,4.0,10.0,8.0,38.0,9.0,15.0,28.0,12.0,19.0,14.0,31.0,39.0,37.0,3.0,20.0,42.0,21.0,47.0,43.0,29.0,25.0,34.0
