,OESOPHAGUS,KIDNEY,AERODIGESTIVE,PANCREAS,ENDOMETRIUM,PROSTATE,THYROID,PLEURA,STOMACH,URINARY,GANGLIA,OVARY,LARGE_INTESTINE,SALIVARY,BILIARY,SOFT_TISSUE,BONE,LUNG,HAEMATOPOIETIC,NERVOUS,BREAST,LIVER,SKIN
1123,0.0,1.0,10.0,2.0,6.0,4.0,3.0,12.0,5.0,15.0,7.0,8.0,9.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1172,2.0,1.0,0.0,5.0,7.0,4.0,3.0,12.0,6.0,17.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,19.0,20.0,18.0,21.0,22.0
1221,3.0,0.0,1.0,4.0,5.0,6.0,10.0,13.0,7.0,21.0,2.0,8.0,9.0,11.0,14.0,15.0,12.0,16.0,18.0,19.0,17.0,20.0,22.0
1270,0.0,2.0,1.0,6.0,3.0,5.0,4.0,12.0,7.0,16.0,8.0,9.0,10.0,11.0,13.0,15.0,14.0,17.0,20.0,19.0,21.0,18.0,22.0
1319,4.0,1.0,2.0,3.0,0.0,6.0,5.0,12.0,8.0,18.0,7.0,9.0,10.0,11.0,13.0,14.0,15.0,17.0,19.0,16.0,20.0,21.0,22.0
1368,1.0,2.0,3.0,0.0,11.0,5.0,4.0,12.0,7.0,19.0,6.0,8.0,9.0,10.0,14.0,13.0,15.0,16.0,17.0,20.0,21.0,18.0,22.0
1417,0.0,5.0,1.0,2.0,3.0,8.0,4.0,13.0,7.0,20.0,6.0,9.0,10.0,11.0,14.0,15.0,16.0,18.0,21.0,17.0,12.0,19.0,22.0
1466,1.0,4.0,0.0,2.0,3.0,6.0,5.0,12.0,9.0,16.0,7.0,10.0,8.0,11.0,13.0,14.0,18.0,15.0,20.0,19.0,17.0,21.0,22.0
1515,1.0,0.0,3.0,6.0,2.0,8.0,5.0,4.0,7.0,9.0,10.0,16.0,11.0,12.0,14.0,13.0,15.0,18.0,17.0,19.0,21.0,20.0,22.0
1564,0.0,2.0,1.0,6.0,7.0,4.0,5.0,3.0,9.0,8.0,11.0,10.0,14.0,12.0,16.0,15.0,13.0,18.0,19.0,17.0,20.0,21.0,22.0
1613,1.0,0.0,6.0,2.0,3.0,4.0,11.0,5.0,7.0,8.0,10.0,9.0,12.0,13.0,15.0,14.0,16.0,18.0,17.0,20.0,21.0,19.0,22.0
1662,2.0,1.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,19.0,11.0,14.0,13.0,15.0,17.0,16.0,18.0,20.0,21.0,22.0
1711,0.0,1.0,2.0,7.0,8.0,5.0,4.0,6.0,3.0,9.0,10.0,14.0,11.0,13.0,15.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1760,4.0,1.0,0.0,13.0,5.0,2.0,10.0,3.0,6.0,7.0,9.0,8.0,11.0,12.0,15.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1809,0.0,11.0,1.0,6.0,2.0,4.0,3.0,5.0,7.0,9.0,8.0,10.0,12.0,13.0,14.0,15.0,18.0,17.0,16.0,19.0,21.0,20.0,22.0
1858,1.0,0.0,3.0,6.0,2.0,5.0,4.0,9.0,7.0,12.0,8.0,11.0,16.0,13.0,10.0,14.0,15.0,17.0,18.0,20.0,19.0,21.0,22.0
1907,2.0,4.0,1.0,7.0,0.0,8.0,6.0,5.0,3.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,17.0,18.0,16.0,19.0,21.0,20.0,22.0
1956,2.0,1.0,0.0,3.0,6.0,5.0,4.0,14.0,7.0,8.0,10.0,9.0,11.0,12.0,16.0,15.0,13.0,17.0,18.0,20.0,21.0,19.0,22.0
2005,4.0,2.0,0.0,3.0,8.0,6.0,7.0,5.0,9.0,13.0,1.0,15.0,10.0,12.0,11.0,14.0,19.0,16.0,18.0,17.0,20.0,21.0,22.0
2054,0.0,3.0,2.0,1.0,6.0,5.0,4.0,11.0,8.0,14.0,9.0,16.0,7.0,10.0,12.0,13.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
2103,0.0,6.0,2.0,1.0,7.0,3.0,5.0,4.0,9.0,10.0,8.0,11.0,12.0,14.0,15.0,13.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2152,0.0,2.0,1.0,3.0,9.0,4.0,6.0,5.0,7.0,10.0,8.0,17.0,11.0,12.0,13.0,14.0,15.0,18.0,19.0,16.0,20.0,21.0,22.0
2201,0.0,4.0,1.0,2.0,6.0,3.0,11.0,5.0,7.0,16.0,8.0,9.0,10.0,12.0,13.0,14.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
2250,2.0,1.0,0.0,3.0,8.0,5.0,4.0,13.0,6.0,9.0,7.0,19.0,10.0,11.0,14.0,15.0,12.0,16.0,18.0,17.0,20.0,21.0,22.0
2299,2.0,1.0,0.0,3.0,12.0,5.0,4.0,6.0,8.0,9.0,7.0,19.0,10.0,11.0,13.0,14.0,15.0,17.0,16.0,18.0,21.0,20.0,22.0
2348,0.0,1.0,9.0,2.0,10.0,3.0,4.0,5.0,7.0,15.0,6.0,19.0,8.0,11.0,13.0,14.0,12.0,17.0,16.0,18.0,21.0,20.0,22.0
2397,0.0,2.0,3.0,1.0,7.0,8.0,10.0,4.0,5.0,9.0,6.0,13.0,11.0,12.0,14.0,15.0,16.0,18.0,20.0,17.0,19.0,21.0,22.0
2446,0.0,4.0,1.0,5.0,7.0,8.0,2.0,3.0,12.0,11.0,6.0,17.0,9.0,13.0,14.0,15.0,19.0,10.0,18.0,16.0,20.0,21.0,22.0
2495,0.0,2.0,1.0,5.0,3.0,7.0,11.0,4.0,6.0,8.0,10.0,16.0,12.0,14.0,15.0,13.0,19.0,18.0,17.0,9.0,20.0,21.0,22.0
2544,2.0,0.0,1.0,3.0,4.0,7.0,11.0,5.0,6.0,8.0,10.0,9.0,12.0,14.0,16.0,13.0,15.0,17.0,19.0,18.0,20.0,21.0,22.0
2593,0.0,1.0,15.0,3.0,4.0,5.0,10.0,2.0,6.0,7.0,11.0,8.0,14.0,13.0,16.0,12.0,17.0,20.0,9.0,18.0,21.0,19.0,22.0
2642,5.0,0.0,1.0,3.0,2.0,6.0,11.0,4.0,7.0,8.0,9.0,16.0,10.0,13.0,14.0,12.0,15.0,19.0,18.0,17.0,20.0,21.0,22.0
2691,1.0,2.0,0.0,4.0,5.0,7.0,12.0,3.0,6.0,14.0,8.0,13.0,9.0,15.0,10.0,11.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
2740,0.0,2.0,1.0,3.0,4.0,6.0,11.0,5.0,7.0,8.0,9.0,17.0,10.0,12.0,14.0,13.0,15.0,18.0,16.0,19.0,20.0,21.0,22.0
2789,2.0,1.0,0.0,3.0,4.0,6.0,10.0,13.0,5.0,7.0,15.0,8.0,9.0,12.0,14.0,11.0,16.0,20.0,18.0,17.0,19.0,21.0,22.0
2838,0.0,1.0,2.0,4.0,5.0,7.0,12.0,3.0,8.0,9.0,11.0,10.0,6.0,14.0,15.0,13.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
2887,1.0,2.0,3.0,6.0,0.0,7.0,11.0,5.0,4.0,8.0,10.0,9.0,12.0,14.0,15.0,13.0,18.0,19.0,16.0,17.0,20.0,21.0,22.0
2936,1.0,3.0,0.0,2.0,4.0,6.0,9.0,13.0,5.0,16.0,15.0,8.0,7.0,11.0,14.0,10.0,12.0,19.0,18.0,17.0,20.0,21.0,22.0
2985,0.0,5.0,3.0,1.0,2.0,8.0,6.0,4.0,7.0,14.0,9.0,13.0,16.0,12.0,11.0,15.0,10.0,17.0,18.0,20.0,21.0,19.0,22.0
3034,0.0,11.0,1.0,4.0,6.0,7.0,3.0,2.0,5.0,13.0,8.0,16.0,15.0,9.0,10.0,12.0,14.0,18.0,19.0,17.0,20.0,21.0,22.0
3083,0.0,5.0,2.0,1.0,6.0,8.0,3.0,4.0,7.0,12.0,9.0,11.0,16.0,13.0,10.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3132,0.0,5.0,2.0,6.0,1.0,8.0,4.0,3.0,7.0,14.0,9.0,13.0,10.0,12.0,11.0,15.0,16.0,17.0,18.0,20.0,19.0,21.0,22.0
3181,0.0,5.0,2.0,6.0,1.0,8.0,4.0,3.0,15.0,16.0,7.0,14.0,9.0,12.0,11.0,13.0,10.0,18.0,17.0,20.0,19.0,21.0,22.0
3230,0.0,6.0,1.0,2.0,4.0,8.0,5.0,9.0,3.0,12.0,7.0,11.0,16.0,13.0,10.0,14.0,15.0,18.0,17.0,20.0,19.0,21.0,22.0
3279,0.0,11.0,1.0,5.0,3.0,6.0,10.0,4.0,2.0,13.0,7.0,12.0,15.0,8.0,9.0,20.0,14.0,18.0,16.0,17.0,19.0,21.0,22.0
3328,0.0,5.0,1.0,2.0,3.0,8.0,4.0,6.0,7.0,11.0,9.0,15.0,14.0,12.0,10.0,13.0,18.0,19.0,16.0,17.0,20.0,21.0,22.0
3377,0.0,3.0,1.0,5.0,2.0,7.0,11.0,4.0,6.0,12.0,8.0,14.0,16.0,9.0,10.0,13.0,20.0,19.0,18.0,15.0,17.0,21.0,22.0
3426,0.0,1.0,2.0,5.0,9.0,7.0,4.0,3.0,6.0,13.0,8.0,16.0,15.0,12.0,11.0,14.0,10.0,17.0,19.0,20.0,18.0,21.0,22.0
3475,2.0,1.0,0.0,6.0,7.0,5.0,10.0,4.0,3.0,8.0,11.0,9.0,12.0,13.0,16.0,17.0,14.0,18.0,19.0,15.0,20.0,21.0,22.0
3524,2.0,1.0,0.0,8.0,6.0,4.0,11.0,5.0,3.0,9.0,10.0,7.0,12.0,13.0,14.0,15.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
3573,3.0,0.0,1.0,7.0,4.0,5.0,11.0,6.0,2.0,8.0,12.0,10.0,13.0,14.0,16.0,18.0,15.0,20.0,19.0,9.0,21.0,17.0,22.0
3622,2.0,1.0,6.0,3.0,4.0,5.0,12.0,7.0,0.0,9.0,11.0,10.0,8.0,13.0,14.0,16.0,15.0,19.0,17.0,18.0,20.0,21.0,22.0
3671,3.0,2.0,1.0,5.0,6.0,4.0,10.0,13.0,0.0,7.0,9.0,8.0,11.0,12.0,14.0,15.0,20.0,18.0,17.0,16.0,19.0,21.0,22.0
3720,3.0,10.0,2.0,4.0,0.0,6.0,11.0,5.0,1.0,7.0,9.0,8.0,12.0,13.0,14.0,20.0,15.0,18.0,17.0,16.0,19.0,21.0,22.0
3769,0.0,1.0,4.0,5.0,6.0,8.0,12.0,3.0,2.0,9.0,11.0,10.0,7.0,13.0,14.0,15.0,16.0,18.0,19.0,17.0,20.0,21.0,22.0
3818,2.0,1.0,4.0,8.0,3.0,5.0,11.0,6.0,0.0,9.0,10.0,7.0,12.0,13.0,14.0,15.0,16.0,18.0,20.0,17.0,21.0,19.0,22.0
3867,3.0,2.0,1.0,6.0,4.0,5.0,12.0,9.0,0.0,14.0,7.0,13.0,8.0,15.0,10.0,11.0,17.0,19.0,18.0,16.0,20.0,21.0,22.0
3916,2.0,7.0,1.0,3.0,4.0,5.0,10.0,6.0,0.0,8.0,9.0,14.0,11.0,13.0,15.0,12.0,16.0,20.0,19.0,17.0,18.0,21.0,22.0
3965,0.0,1.0,11.0,6.0,2.0,5.0,3.0,4.0,7.0,8.0,9.0,13.0,10.0,12.0,14.0,15.0,20.0,17.0,16.0,19.0,18.0,21.0,22.0
4014,0.0,5.0,9.0,6.0,1.0,4.0,2.0,3.0,13.0,12.0,8.0,11.0,7.0,14.0,10.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
4063,1.0,0.0,7.0,8.0,4.0,5.0,12.0,6.0,3.0,9.0,11.0,10.0,2.0,13.0,15.0,21.0,14.0,18.0,17.0,20.0,16.0,19.0,22.0
4112,0.0,1.0,5.0,7.0,2.0,9.0,4.0,3.0,6.0,10.0,15.0,11.0,8.0,12.0,13.0,14.0,16.0,18.0,17.0,21.0,19.0,20.0,22.0
4161,2.0,1.0,5.0,7.0,0.0,4.0,3.0,14.0,6.0,9.0,11.0,10.0,8.0,13.0,15.0,12.0,16.0,17.0,20.0,19.0,18.0,21.0,22.0
4210,0.0,6.0,7.0,8.0,2.0,3.0,4.0,5.0,1.0,10.0,12.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,21.0,19.0,20.0,22.0
4259,1.0,0.0,4.0,5.0,13.0,7.0,3.0,2.0,8.0,9.0,11.0,10.0,6.0,12.0,14.0,15.0,17.0,16.0,18.0,20.0,19.0,21.0,22.0
4308,1.0,0.0,5.0,6.0,7.0,2.0,4.0,3.0,8.0,9.0,10.0,15.0,11.0,12.0,14.0,16.0,13.0,17.0,18.0,20.0,19.0,21.0,22.0
4357,0.0,2.0,6.0,7.0,1.0,4.0,5.0,3.0,8.0,9.0,15.0,10.0,11.0,12.0,13.0,14.0,20.0,17.0,18.0,16.0,19.0,21.0,22.0
4406,1.0,0.0,2.0,7.0,6.0,4.0,11.0,3.0,8.0,5.0,10.0,9.0,12.0,14.0,16.0,13.0,15.0,18.0,19.0,20.0,17.0,21.0,22.0
4455,5.0,1.0,11.0,6.0,0.0,4.0,2.0,3.0,9.0,15.0,10.0,7.0,8.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4504,1.0,4.0,0.0,5.0,13.0,8.0,2.0,3.0,6.0,9.0,11.0,10.0,7.0,12.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,19.0,22.0
4553,2.0,3.0,0.0,1.0,7.0,5.0,4.0,6.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,17.0,21.0,20.0,22.0
4602,0.0,11.0,4.0,7.0,13.0,3.0,2.0,1.0,8.0,9.0,10.0,6.0,5.0,12.0,14.0,15.0,16.0,17.0,19.0,18.0,21.0,20.0,22.0
4651,6.0,2.0,0.0,7.0,9.0,3.0,4.0,1.0,5.0,10.0,8.0,11.0,12.0,14.0,15.0,13.0,18.0,16.0,19.0,17.0,21.0,20.0,22.0
4700,2.0,3.0,0.0,1.0,8.0,4.0,6.0,5.0,7.0,10.0,11.0,9.0,12.0,13.0,14.0,16.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0
4749,2.0,4.0,0.0,1.0,14.0,3.0,5.0,6.0,7.0,10.0,11.0,9.0,8.0,12.0,15.0,16.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
4798,1.0,5.0,0.0,2.0,6.0,4.0,11.0,3.0,7.0,15.0,9.0,10.0,8.0,12.0,13.0,19.0,14.0,16.0,17.0,18.0,20.0,21.0,22.0
4847,0.0,3.0,1.0,4.0,5.0,7.0,2.0,15.0,8.0,9.0,6.0,10.0,11.0,13.0,16.0,12.0,14.0,17.0,18.0,20.0,21.0,19.0,22.0
4896,0.0,11.0,1.0,4.0,5.0,3.0,2.0,8.0,14.0,13.0,7.0,12.0,6.0,9.0,10.0,15.0,16.0,17.0,19.0,18.0,21.0,20.0,22.0
